,Country_Name,Country_Code,Year,Season,Population,GDP,GDP_Per_Capita,Y_Gold,Y_Silver,Y_Bronze,Y_Total,A_Gold,A_Silver,A_Bronze,A_Total,Y_Capita_Per_Medal,A_Capita_Per_Medal,Y_Capita_Per_GDP,A_Capita_Per_GDP,A_Score,Y_Score,Y_Score_Per_Capita,A_Score_Per_Capita,Y_Score/Population,Y_Score/GDP,Population to Gold Medal,Population to Silver Medal,Population to Bronze Medal,Population to Weight Score,GDP to Gold Medal,GDP to Silver Medal,GDP to Bronze Medal,GDP to Weight Score
0,Australia,AUS,1960,Summer,10276477.0,18605666932.112774,1810.510249,8.0,8.0,6.0,22.0,8.0,8.0,6.0,22.0,2.140811486271025e-06,2.140811486271025e-06,1.182435441861464e-09,1.182435441861464e-09,46.0,46.0,223401.6739130435,223401.6739130435,4.476242198566688e-06,2.4723650148012434e-09,1284559.625,1284559.625,1712746.1666666667,223401.6739130435,2325708366.5140967,2325708366.5140967,3100944488.6854625,404471020.2633212
1,Austria,AUT,1960,Summer,7047539.0,6592693841.534399,935.4604269,1.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,2.8378700706728975e-07,2.8378700706728975e-07,3.03366127424251e-10,3.03366127424251e-10,5.0,5.0,1409507.8,1409507.8,7.094675176682244e-07,7.584153185606278e-10,7047539.0,7047539.0,0.0,1409507.8,6592693841.534399,6592693841.534399,0.0,1318538768.3068798
2,Austria,AUT,1960,Winter,7047539.0,6592693841.534399,935.4604269,1.0,2.0,3.0,6.0,2.0,3.0,3.0,8.0,8.513610212018692e-07,1.135148028269159e-06,9.100983822727531e-10,1.2134645096970043e-09,15.0,10.0,704753.9,469835.93333333335,1.4189350353364487e-06,1.5168306371212555e-09,7047539.0,3523769.5,2349179.6666666665,704753.9,6592693841.534399,3296346920.7671995,2197564613.8447995,659269384.1534399
3,Belgium,BEL,1960,Summer,9153489.0,11658722590.048252,1273.691659,0.0,2.0,2.0,4.0,0.0,2.0,2.0,4.0,4.369918399421248e-07,4.369918399421248e-07,3.4309076051044843e-10,3.4309076051044843e-10,6.0,6.0,1525581.5,1525581.5,6.554877599131873e-07,5.146361407656727e-10,0.0,4576744.5,4576744.5,1525581.5,0.0,5829361295.024126,5829361295.024126,1943120431.6747088
4,Brazil,BRA,1960,Summer,73092515.0,17030465543.012688,232.9987625,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.7362582885538963e-08,2.7362582885538963e-08,1.1743660177396419e-10,1.1743660177396419e-10,2.0,2.0,36546257.5,36546257.5,2.7362582885538963e-08,1.1743660177396419e-10,0.0,0.0,36546257.5,36546257.5,0.0,0.0,8515232771.506344,8515232771.506344
5,Canada,CAN,1960,Summer,17909356.0,40461721694.68092,2259.250511,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,5.5836736954695633e-08,5.5836736954695633e-08,2.471471697487009e-11,2.471471697487009e-11,2.0,2.0,8954678.0,8954678.0,1.1167347390939129e-07,4.942943394974018e-11,0.0,17909356.0,0.0,8954678.0,0.0,40461721694.68092,0.0,20230860847.34046
6,Canada,CAN,1960,Winter,17909356.0,40461721694.68092,2259.250511,2.0,1.0,1.0,4.0,2.0,2.0,1.0,5.0,2.2334694781878253e-07,2.7918368477347815e-07,9.885886789948038e-11,1.2357358487435048e-10,11.0,9.0,1989928.4444444445,1628123.2727272727,5.025306325922607e-07,2.224324527738308e-10,8954678.0,17909356.0,17909356.0,1989928.4444444445,20230860847.34046,40461721694.68092,40461721694.68092,4495746854.964547
7,Finland,FIN,1960,Summer,4429634.0,5224102195.527974,1179.353011,1.0,1.0,3.0,5.0,1.0,1.0,3.0,5.0,1.1287614281450791e-06,1.1287614281450791e-06,9.57102256590651e-10,9.57102256590651e-10,8.0,8.0,553704.25,553704.25,1.8060182850321268e-06,1.531363610545042e-09,4429634.0,4429634.0,1476544.6666666667,553704.25,5224102195.527974,5224102195.527974,1741367398.5093248,653012774.4409968
8,Finland,FIN,1960,Winter,4429634.0,5224102195.527974,1179.353011,2.0,3.0,3.0,8.0,3.0,4.0,6.0,13.0,1.8060182850321268e-06,2.934779713177206e-06,1.531363610545042e-09,2.488465867135693e-09,23.0,15.0,295308.93333333335,192592.78260869565,3.386284284435238e-06,2.871306769771954e-09,2214817.0,1476544.6666666667,1476544.6666666667,295308.93333333335,2612051097.763987,1741367398.5093248,1741367398.5093248,348273479.70186496
9,France,FRA,1960,Summer,46649927.0,62225478007.09517,1333.881573,0.0,2.0,3.0,5.0,0.0,2.0,3.0,5.0,1.0718130384212608e-07,1.0718130384212608e-07,8.03529383804795e-11,8.03529383804795e-11,7.0,7.0,6664275.285714285,6664275.285714285,1.500538253789765e-07,1.1249411373267128e-10,0.0,23324963.5,15549975.666666666,6664275.285714285,0.0,31112739003.547585,20741826002.36505,8889354001.013596
10,France,FRA,1960,Winter,46649927.0,62225478007.09517,1333.881573,1.0,0.0,2.0,3.0,1.0,2.0,5.0,8.0,6.430878230527565e-08,1.7149008614740168e-07,4.8211763028287694e-11,1.2856470140876718e-10,12.0,5.0,9329985.4,3887493.9166666665,1.0718130384212607e-07,8.03529383804795e-11,46649927.0,0.0,23324963.5,9329985.4,62225478007.09517,0.0,31112739003.547585,12445095601.419031
11,Ghana,GHA,1960,Summer,6911510.0,1217086834.8730838,176.0956484,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.4468618290359124e-07,1.4468618290359124e-07,8.216340620464261e-10,8.216340620464261e-10,2.0,2.0,3455755.0,3455755.0,2.893723658071825e-07,1.6432681240928524e-09,0.0,6911510.0,0.0,3455755.0,0.0,1217086834.8730838,0.0,608543417.4365419
