Country_Name,Country_Code,Year,GDP,Gold,Silver,Bronze,Total_Medals,Season
Argentina,ARG,1960,,0,1,1,2,Summer
Australia,AUS,1960,1810.510249,8,8,6,22,Summer
Austria,AUT,1960,935.4604269,1,1,0,2,Summer
Belgium,BEL,1960,1273.691659,0,2,2,4,Summer
Brazil,BRA,1960,232.9987625,0,0,2,2,Summer
Canada,CAN,1960,2259.250511,0,1,0,1,Summer
Spain,ESP,1960,396.3922533,0,0,1,1,Summer
Ethiopia,ETH,1960,,1,0,0,1,Summer
Finland,FIN,1960,1179.353011,1,1,3,5,Summer
France,FRA,1960,1333.881573,0,2,3,5,Summer
United Kingdom,GBR,1960,1397.594803,2,6,12,20,Summer
Ghana,GHA,1960,176.0956484,0,1,0,1,Summer
Hungary,HUN,1960,,6,8,7,21,Summer
India,IND,1960,83.03510182,0,1,0,1,Summer
Iraq,IRQ,1960,237.7132079,0,0,1,1,Summer
Italy,ITA,1960,804.4926233,13,10,13,36,Summer
Japan,JPN,1960,475.3190756,4,7,7,18,Summer
Morocco,MAR,1960,172.5989838,0,1,0,1,Summer
Mexico,MEX,1960,359.5450597,0,0,1,1,Summer
Norway,NOR,1960,1441.75566,1,0,0,1,Summer
New Zealand,NZL,1960,2312.949992,2,0,1,3,Summer
Pakistan,PAK,1960,81.5869473,1,0,1,2,Summer
Poland,POL,1960,,4,6,11,21,Summer
Romania,ROU,1960,,3,1,6,10,Summer
Singapore,SGP,1960,428.05898,0,1,0,1,Summer
Sweden,SWE,1960,2114.002973,1,2,3,6,Summer
Turkiye,TUR,1960,508.2906132,7,2,0,9,Summer
United States,USA,1960,3007.123445,34,21,16,71,Summer
"Venezuela, RB",VEN,1960,953.6779442,0,0,1,1,Summer
Argentina,ARG,1964,1179.504098,0,1,0,1,Summer
Australia,AUS,1964,2131.277657,6,2,10,18,Summer
Belgium,BEL,1964,1701.846276,2,0,1,3,Summer
Brazil,BRA,1964,254.838581,0,0,1,1,Summer
Canada,CAN,1964,2555.111146,1,2,1,4,Summer
Cuba,CUB,1964,,0,1,0,1,Summer
Ethiopia,ETH,1964,,1,0,0,1,Summer
Finland,FIN,1964,1707.503938,3,0,2,5,Summer
France,FRA,1964,1928.999402,1,8,6,15,Summer
United Kingdom,GBR,1964,1748.288118,4,12,2,18,Summer
Ghana,GHA,1964,226.576967,0,0,1,1,Summer
Hungary,HUN,1964,,10,7,5,22,Summer
India,IND,1964,115.4876084,1,0,0,1,Summer
Ireland,IRL,1964,965.1354227,0,0,1,1,Summer
Italy,ITA,1964,1222.54454,10,10,7,27,Summer
Japan,JPN,1964,843.6168785,16,5,8,29,Summer
Kenya,KEN,1964,110.3920208,0,0,1,1,Summer
"Korea, Rep.",KOR,1964,123.6068369,0,2,1,3,Summer
Mexico,MEX,1964,485.80005,0,0,1,1,Summer
New Zealand,NZL,1964,2813.546976,3,0,2,5,Summer
Pakistan,PAK,1964,102.9612072,0,1,0,1,Summer
Poland,POL,1964,,7,6,10,23,Summer
Romania,ROU,1964,,2,4,6,12,Summer
Sweden,SWE,1964,2941.048899,2,2,4,8,Summer
Trinidad and Tobago,TTO,1964,779.3892566,0,1,2,3,Summer
Tunisia,TUN,1964,,0,1,1,2,Summer
Turkiye,TUR,1964,365.1338692,2,3,1,6,Summer
United States,USA,1964,3573.941185,36,26,28,90,Summer
Argentina,ARG,1968,1143.810428,0,0,2,2,Summer
Australia,AUS,1968,2723.999484,5,7,5,17,Summer
Austria,AUT,1968,1677.673528,0,2,2,4,Summer
Belgium,BEL,1968,2222.361511,0,1,1,2,Summer
Brazil,BRA,1968,370.1804118,0,1,2,3,Summer
Canada,CAN,1968,3462.678872,1,3,1,5,Summer
Cameroon,CMR,1968,170.7455914,0,1,0,1,Summer
Cuba,CUB,1968,,0,4,0,4,Summer
Ethiopia,ETH,1968,,1,1,0,2,Summer
Finland,FIN,1968,1907.077272,1,2,1,4,Summer
France,FRA,1968,2553.975843,7,3,5,15,Summer
United Kingdom,GBR,1968,1951.758596,5,5,3,13,Summer
Hungary,HUN,1968,,10,10,12,32,Summer
India,IND,1968,99.51683612,0,0,1,1,Summer
Italy,ITA,1968,1651.939377,3,4,9,16,Summer
Jamaica,JAM,1968,598.1006359,0,1,0,1,Summer
Japan,JPN,1968,1451.337703,11,7,7,25,Summer
Kenya,KEN,1968,127.5024628,3,4,2,9,Summer
"Korea, Rep.",KOR,1968,198.431298,0,1,1,2,Summer
Mexico,MEX,1968,622.4250634,3,3,3,9,Summer
Norway,NOR,1968,2662.117492,1,1,0,2,Summer
New Zealand,NZL,1968,1885.156152,1,0,2,3,Summer
Pakistan,PAK,1968,143.2879463,1,0,0,1,Summer
Poland,POL,1968,,5,2,11,18,Summer
Romania,ROU,1968,,4,6,5,15,Summer
Sweden,SWE,1968,3926.409001,2,1,1,4,Summer
Tunisia,TUN,1968,253.848674,1,0,1,2,Summer
Turkiye,TUR,1968,516.4668063,2,0,0,2,Summer
Uganda,UGA,1968,107.0313041,0,1,1,2,Summer
United States,USA,1968,4695.92339,45,28,34,107,Summer
"Venezuela, RB",VEN,1968,940.2014199,1,0,0,1,Summer
Argentina,ARG,1972,1411.176664,0,1,0,1,Summer
Australia,AUS,1972,3949.461643,8,7,2,17,Summer
Austria,AUT,1972,2924.048879,0,1,2,3,Summer
Belgium,BEL,1972,3831.6319,0,2,0,2,Summer
Brazil,BRA,1972,577.4515372,0,0,2,2,Summer
Canada,CAN,1972,5089.587902,0,2,3,5,Summer
Colombia,COL,1972,395.9876223,0,1,2,3,Summer
Cuba,CUB,1972,887.2171977,3,1,4,8,Summer
Spain,ESP,1972,1708.808629,0,0,1,1,Summer
Ethiopia,ETH,1972,,0,0,2,2,Summer
Finland,FIN,1972,3177.645701,3,1,4,8,Summer
France,FRA,1972,3865.9254,2,4,7,13,Summer
United Kingdom,GBR,1972,3030.432514,4,5,9,18,Summer
Ghana,GHA,1972,225.5289099,0,0,1,1,Summer
Hungary,HUN,1972,,6,13,16,35,Summer
India,IND,1972,122.6124534,0,0,1,1,Summer
Italy,ITA,1972,2671.137314,5,3,10,18,Summer
Jamaica,JAM,1972,978.9849313,0,0,1,1,Summer
Japan,JPN,1972,2967.041996,13,8,8,29,Summer
Kenya,KEN,1972,171.0050917,2,3,4,9,Summer
"Korea, Rep.",KOR,1972,324.1962768,0,1,0,1,Summer
Lebanon,LBN,1972,,0,1,0,1,Summer
Mexico,MEX,1972,844.1744381,0,1,0,1,Summer
Norway,NOR,1972,4413.575692,2,1,1,4,Summer
New Zealand,NZL,1972,3294.648943,1,1,1,3,Summer
Pakistan,PAK,1972,150.6172113,0,1,0,1,Summer
Poland,POL,1972,,7,5,9,21,Summer
"Korea, Dem. People's Rep.",PRK,1972,,1,1,3,5,Summer
Romania,ROU,1972,,3,6,7,16,Summer
Sweden,SWE,1972,6027.128499,4,6,6,16,Summer
Tunisia,TUN,1972,420.5665745,0,1,0,1,Summer
Turkiye,TUR,1972,547.4651976,0,1,0,1,Summer
Uganda,UGA,1972,137.0252176,1,1,0,2,Summer
United States,USA,1972,6094.01799,33,31,30,94,Summer
Australia,AUS,1976,7487.078975,0,1,4,5,Summer
Austria,AUT,1976,5678.386658,0,0,1,1,Summer
Belgium,BEL,1976,7243.047341,0,3,3,6,Summer
Brazil,BRA,1976,1376.347928,0,0,2,2,Summer
Canada,CAN,1976,8809.26466,0,5,6,11,Summer
Cuba,CUB,1976,1436.285607,6,4,3,13,Summer
Spain,ESP,1976,3279.312671,0,2,0,2,Summer
Finland,FIN,1976,6739.690713,4,2,0,6,Summer
France,FRA,1976,6899.069578,2,3,4,9,Summer
United Kingdom,GBR,1976,4138.167788,3,5,5,13,Summer
Hungary,HUN,1976,,4,5,13,22,Summer
Italy,ITA,1976,4033.099354,2,7,4,13,Summer
Jamaica,JAM,1976,1461.458827,1,1,0,2,Summer
Japan,JPN,1976,5197.622337,9,6,10,25,Summer
"Korea, Rep.",KOR,1976,834.134208,1,1,4,6,Summer
Mexico,MEX,1976,1472.658876,1,0,1,2,Summer
Norway,NOR,1976,8927.201627,1,1,0,2,Summer
New Zealand,NZL,1976,4373.840998,2,1,1,4,Summer
Pakistan,PAK,1976,187.4969066,0,0,1,1,Summer
Poland,POL,1976,,7,6,13,26,Summer
"Korea, Dem. People's Rep.",PRK,1976,,1,1,0,2,Summer
Romania,ROU,1976,,4,9,14,27,Summer
Sweden,SWE,1976,10868.27577,4,1,0,5,Summer
Thailand,THA,1976,405.5479499,0,0,1,1,Summer
Trinidad and Tobago,TTO,1976,2341.875013,1,0,0,1,Summer
United States,USA,1976,8592.253537,34,35,25,94,Summer
"Venezuela, RB",VEN,1976,2316.030922,0,1,0,1,Summer
Australia,AUS,1980,10208.57617,2,2,5,9,Summer
Austria,AUT,1980,10869.54649,1,2,1,4,Summer
Belgium,BEL,1980,12864.00257,1,0,0,1,Summer
Brazil,BRA,1980,1941.259538,2,0,2,4,Summer
Cuba,CUB,1980,2030.041049,8,7,5,20,Summer
Spain,ESP,1980,6208.578019,1,3,2,6,Summer
Ethiopia,ETH,1980,,2,0,2,4,Summer
Finland,FIN,1980,11223.93756,3,1,4,8,Summer
France,FRA,1980,12738.52005,6,5,3,14,Summer
United Kingdom,GBR,1980,10032.06208,5,7,9,21,Summer
Guyana,GUY,1980,775.1459824,0,0,1,1,Summer
Hungary,HUN,1980,,7,10,15,32,Summer
India,IND,1980,267.3905787,1,0,0,1,Summer
Ireland,IRL,1980,6372.437775,0,1,1,2,Summer
Italy,ITA,1980,8456.918974,8,3,4,15,Summer
Jamaica,JAM,1980,1254.671851,0,0,3,3,Summer
Lebanon,LBN,1980,,0,0,1,1,Summer
Mexico,MEX,1980,3029.887355,0,1,3,4,Summer
Poland,POL,1980,,3,14,15,32,Summer
"Korea, Dem. People's Rep.",PRK,1980,,0,3,2,5,Summer
Romania,ROU,1980,,6,6,13,25,Summer
Sweden,SWE,1980,17097.83265,3,3,6,12,Summer
Uganda,UGA,1980,93.69222855,0,1,0,1,Summer
"Venezuela, RB",VEN,1980,3886.573956,0,1,0,1,Summer
Australia,AUS,1984,12421.4926,4,8,12,24,Summer
Austria,AUT,1984,8991.06504,1,1,1,3,Summer
Belgium,BEL,1984,8457.268803,1,1,2,4,Summer
Brazil,BRA,1984,1406.6898,1,5,2,8,Summer
