Country_Name,Country_Code,Year,GDP,Gold,Silver,Bronze,Total_Medals,Season
Austria,AUT,1960,935.4604269,1,2,3,6,Winter
Canada,CAN,1960,2259.250511,2,1,1,4,Winter
Finland,FIN,1960,1179.353011,2,3,3,8,Winter
France,FRA,1960,1333.881573,1,0,2,3,Winter
Italy,ITA,1960,804.4926233,0,0,1,1,Winter
Norway,NOR,1960,1441.75566,3,3,0,6,Winter
Poland,POL,1960,,0,1,1,2,Winter
Sweden,SWE,1960,2114.002973,3,2,2,7,Winter
United States,USA,1960,3007.123445,3,4,3,10,Winter
Austria,AUT,1964,1269.412583,4,5,3,12,Winter
Canada,CAN,1964,2555.111146,1,1,1,3,Winter
Finland,FIN,1964,1707.503938,3,4,3,10,Winter
France,FRA,1964,1928.999402,3,4,0,7,Winter
United Kingdom,GBR,1964,1748.288118,1,0,0,1,Winter
Italy,ITA,1964,1222.54454,0,1,3,4,Winter
Norway,NOR,1964,1937.884614,3,6,6,15,Winter
"Korea, Dem. People's Rep.",PRK,1964,,0,1,0,1,Winter
Sweden,SWE,1964,2941.048899,3,3,1,7,Winter
United States,USA,1964,3573.941185,1,2,4,7,Winter
Austria,AUT,1968,1677.673528,3,4,4,11,Winter
Canada,CAN,1968,3462.678872,1,1,1,3,Winter
Finland,FIN,1968,1907.077272,1,2,2,5,Winter
France,FRA,1968,2553.975843,4,3,2,9,Winter
Italy,ITA,1968,1651.939377,4,0,0,4,Winter
Norway,NOR,1968,2662.117492,6,6,2,14,Winter
Romania,ROU,1968,,0,0,1,1,Winter
Sweden,SWE,1968,3926.409001,3,2,3,8,Winter
United States,USA,1968,4695.92339,1,5,1,7,Winter
Austria,AUT,1972,2924.048879,1,2,2,5,Winter
Canada,CAN,1972,5089.587902,0,1,0,1,Winter
Spain,ESP,1972,1708.808629,1,0,0,1,Winter
Finland,FIN,1972,3177.645701,0,4,1,5,Winter
France,FRA,1972,3865.9254,0,1,2,3,Winter
Italy,ITA,1972,2671.137314,2,2,1,5,Winter
Japan,JPN,1972,2967.041996,1,1,1,3,Winter
Norway,NOR,1972,4413.575692,2,5,5,12,Winter
Poland,POL,1972,,1,0,0,1,Winter
Sweden,SWE,1972,6027.128499,1,1,2,4,Winter
United States,USA,1972,6094.01799,3,2,3,8,Winter
Austria,AUT,1976,5678.386658,2,2,2,6,Winter
Canada,CAN,1976,8809.26466,1,1,1,3,Winter
Finland,FIN,1976,6739.690713,2,4,1,7,Winter
France,FRA,1976,6899.069578,0,0,1,1,Winter
United Kingdom,GBR,1976,4138.167788,1,0,0,1,Winter
Italy,ITA,1976,4033.099354,1,2,1,4,Winter
Liechtenstein,LIE,1976,11637.08059,0,0,2,2,Winter
Norway,NOR,1976,8927.201627,3,3,1,7,Winter
Sweden,SWE,1976,10868.27577,0,0,2,2,Winter
United States,USA,1976,8592.253537,3,3,4,10,Winter
Austria,AUT,1980,10869.54649,3,2,2,7,Winter
Canada,CAN,1980,11170.56397,0,1,1,2,Winter
Finland,FIN,1980,11223.93756,1,5,3,9,Winter
France,FRA,1980,12738.52005,0,0,1,1,Winter
United Kingdom,GBR,1980,10032.06208,1,0,0,1,Winter
Hungary,HUN,1980,,0,1,0,1,Winter
Italy,ITA,1980,8456.918974,0,2,0,2,Winter
Japan,JPN,1980,9463.353855,0,1,0,1,Winter
Liechtenstein,LIE,1980,21385.51036,2,2,0,4,Winter
Norway,NOR,1980,15772.24091,1,3,6,10,Winter
Sweden,SWE,1980,17097.83265,3,0,1,4,Winter
United States,USA,1980,12574.79151,6,4,2,12,Winter
Austria,AUT,1984,8991.06504,0,0,1,1,Winter
Canada,CAN,1984,13877.91708,2,1,1,4,Winter
Finland,FIN,1984,10833.86629,4,3,6,13,Winter
France,FRA,1984,9430.069648,0,1,2,3,Winter
United Kingdom,GBR,1984,8179.194441,1,0,0,1,Winter
Italy,ITA,1984,7739.715284,2,0,0,2,Winter
Japan,JPN,1984,10978.91981,0,1,0,1,Winter
Liechtenstein,LIE,1984,19024.12397,0,0,2,2,Winter
Norway,NOR,1984,14989.48577,3,2,4,9,Winter
Sweden,SWE,1984,13099.02083,4,2,2,8,Winter
United States,USA,1984,17121.22548,4,4,0,8,Winter
Austria,AUT,1988,17578.61894,3,5,2,10,Winter
Canada,CAN,1988,18936.9641,0,2,3,5,Winter
Finland,FIN,1988,22047.79332,4,1,2,7,Winter
France,FRA,1988,17727.51083,1,0,1,2,Winter
Italy,ITA,1988,15744.66126,2,1,2,5,Winter
Japan,JPN,1988,25059.00743,0,0,1,1,Winter
Liechtenstein,LIE,1988,41574.49438,0,0,1,1,Winter
Norway,NOR,1988,24207.28147,0,3,2,5,Winter
Sweden,SWE,1988,24534.69382,4,0,2,6,Winter
United States,USA,1988,21417.01193,2,1,3,6,Winter
Austria,AUT,1992,24880.16412,6,7,8,21,Winter
Canada,CAN,1992,20879.84833,2,3,2,7,Winter
China,CHN,1992,366.4606923,0,3,0,3,Winter
Spain,ESP,1992,16112.18892,0,0,1,1,Winter
Finland,FIN,1992,22319.05946,3,1,3,7,Winter
France,FRA,1992,23814.22737,3,5,1,9,Winter
Italy,ITA,1992,23243.47453,4,6,4,14,Winter
Japan,JPN,1992,31414.98464,1,2,4,7,Winter
"Korea, Rep.",KOR,1992,8126.67039,2,1,1,4,Winter
Luxembourg,LUX,1992,39570.86157,0,2,0,2,Winter
Norway,NOR,1992,30523.98506,9,6,5,20,Winter
New Zealand,NZL,1992,11793.13924,0,1,0,1,Winter
"Korea, Dem. People's Rep.",PRK,1992,,0,0,1,1,Winter
Sweden,SWE,1992,32800.98269,1,0,3,4,Winter
United States,USA,1992,25418.99078,5,4,2,11,Winter
Australia,AUS,1994,18129.79072,0,0,1,1,Winter
Austria,AUT,1994,25646.70066,2,3,4,9,Winter
Belarus,BLR,1994,1460.0655,0,2,0,2,Winter
Canada,CAN,1994,19935.38146,3,6,4,13,Winter
China,CHN,1994,473.4922787,0,1,2,3,Winter
Finland,FIN,1994,20301.33309,0,1,5,6,Winter
France,FRA,1994,23496.36768,0,1,4,5,Winter
United Kingdom,GBR,1994,19709.2381,0,0,2,2,Winter
Italy,ITA,1994,19337.6309,7,5,8,20,Winter
Japan,JPN,1994,39933.51506,1,2,2,5,Winter
Kazakhstan,KAZ,1994,1316.183629,1,2,0,3,Winter
"Korea, Rep.",KOR,1994,10385.33617,4,1,1,6,Winter
Norway,NOR,1994,29315.84191,10,11,5,26,Winter
Russian Federation,RUS,1994,2662.104004,11,8,4,23,Winter
Sweden,SWE,1994,26083.61439,2,1,0,3,Winter
Ukraine,UKR,1994,1011.97937,1,0,1,2,Winter
United States,USA,1994,27694.85342,6,5,2,13,Winter
Uzbekistan,UZB,1994,576.4471105,1,0,0,1,Winter
Australia,AUS,1998,21478.38516,0,0,1,1,Winter
Austria,AUT,1998,27361.87511,3,5,9,17,Winter
Belgium,BEL,1998,25338.44329,0,0,1,1,Winter
Belarus,BLR,1998,1511.325316,0,0,2,2,Winter
Canada,CAN,1998,21024.58507,6,5,4,15,Winter
China,CHN,1998,828.5804793,0,6,2,8,Winter
Czechia,CZE,1998,6489.703619,1,1,1,3,Winter
Finland,FIN,1998,26009.26949,2,4,6,12,Winter
France,FRA,1998,24971.57449,2,1,5,8,Winter
United Kingdom,GBR,1998,28297.866,0,0,1,1,Winter
Italy,ITA,1998,22318.1373,2,6,2,10,Winter
Japan,JPN,1998,32423.75561,5,1,4,10,Winter
Kazakhstan,KAZ,1998,1468.669291,0,0,2,2,Winter
