Country_Name,Country_Code,Year,Population,Gold,Silver,Bronze,Total_Medals,Season
Argentina,ARG,1960,20349744.0,0,1,1,2,Summer
Australia,AUS,1960,10276477.0,8,8,6,22,Summer
Austria,AUT,1960,7047539.0,1,1,0,2,Summer
Austria,AUT,1960,7047539.0,1,2,3,6,Winter
Belgium,BEL,1960,9153489.0,0,2,2,4,Summer
Brazil,BRA,1960,73092515.0,0,0,2,2,Summer
Canada,CAN,1960,17909356.0,0,1,0,1,Summer
Canada,CAN,1960,17909356.0,2,1,1,4,Winter
Spain,ESP,1960,30455000.0,0,0,1,1,Summer
Ethiopia,ETH,1960,21739710.0,1,0,0,1,Summer
Finland,FIN,1960,4429634.0,1,1,3,5,Summer
Finland,FIN,1960,4429634.0,2,3,3,8,Winter
France,FRA,1960,46649927.0,0,2,3,5,Summer
France,FRA,1960,46649927.0,1,0,2,3,Winter
United Kingdom,GBR,1960,52400000.0,2,6,12,20,Summer
Ghana,GHA,1960,6911510.0,0,1,0,1,Summer
Hungary,HUN,1960,9983967.0,6,8,7,21,Summer
India,IND,1960,445954579.0,0,1,0,1,Summer
Iraq,IRQ,1960,7084678.0,0,0,1,1,Summer
Italy,ITA,1960,50199700.0,13,10,13,36,Summer
Italy,ITA,1960,50199700.0,0,0,1,1,Winter
Japan,JPN,1960,93216000.0,4,7,7,18,Summer
Morocco,MAR,1960,11769774.0,0,1,0,1,Summer
Mexico,MEX,1960,36268055.0,0,0,1,1,Summer
Norway,NOR,1960,3581239.0,1,0,0,1,Summer
Norway,NOR,1960,3581239.0,3,3,0,6,Winter
New Zealand,NZL,1960,2371800.0,2,0,1,3,Summer
Pakistan,PAK,1960,45954226.0,1,0,1,2,Summer
Poland,POL,1960,29637450.0,4,6,11,21,Summer
Poland,POL,1960,29637450.0,0,1,1,2,Winter
Romania,ROU,1960,18406905.0,3,1,6,10,Summer
Singapore,SGP,1960,1646400.0,0,1,0,1,Summer
Sweden,SWE,1960,7484656.0,1,2,3,6,Summer
Sweden,SWE,1960,7484656.0,3,2,2,7,Winter
Turkiye,TUR,1960,27510980.0,7,2,0,9,Summer
United States,USA,1960,180671000.0,34,21,16,71,Summer
United States,USA,1960,180671000.0,3,4,3,10,Winter
"Venezuela, RB",VEN,1960,8156937.0,0,0,1,1,Summer
Argentina,ARG,1964,21708487.0,0,1,0,1,Summer
Australia,AUS,1964,11167000.0,6,2,10,18,Summer
Austria,AUT,1964,7223801.0,4,5,3,12,Winter
Belgium,BEL,1964,9378113.0,2,0,1,3,Summer
Brazil,BRA,1964,82262794.0,0,0,1,1,Summer
Canada,CAN,1964,19325000.0,1,2,1,4,Summer
Canada,CAN,1964,19325000.0,1,1,1,3,Winter
Cuba,CUB,1964,7902286.0,0,1,0,1,Summer
Ethiopia,ETH,1964,24073696.0,1,0,0,1,Summer
Finland,FIN,1964,4548543.0,3,0,2,5,Summer
Finland,FIN,1964,4548543.0,3,4,3,10,Winter
France,FRA,1964,48733997.0,1,8,6,15,Summer
France,FRA,1964,48733997.0,3,4,0,7,Winter
United Kingdom,GBR,1964,54000000.0,4,12,2,18,Summer
United Kingdom,GBR,1964,54000000.0,1,0,0,1,Winter
Ghana,GHA,1964,7640196.0,0,0,1,1,Summer
Hungary,HUN,1964,10119835.0,10,7,5,22,Summer
India,IND,1964,489059309.0,1,0,0,1,Summer
Ireland,IRL,1964,2866550.0,0,0,1,1,Summer
Italy,ITA,1964,51675350.0,10,10,7,27,Summer
Italy,ITA,1964,51675350.0,0,1,3,4,Winter
Japan,JPN,1964,96903000.0,16,5,8,29,Summer
Kenya,KEN,1964,9047387.0,0,0,1,1,Summer
"Korea, Rep.",KOR,1964,27984155.0,0,2,1,3,Summer
Mexico,MEX,1964,41333878.0,0,0,1,1,Summer
Norway,NOR,1964,3694339.0,3,6,6,15,Winter
New Zealand,NZL,1964,2585400.0,3,0,2,5,Summer
Pakistan,PAK,1964,50552592.0,0,1,0,1,Summer
Poland,POL,1964,31139450.0,7,6,10,23,Summer
"Korea, Dem. People's Rep.",PRK,1964,12787523.0,0,1,0,1,Winter
Romania,ROU,1964,18919126.0,2,4,6,12,Summer
Sweden,SWE,1964,7661354.0,2,2,4,8,Summer
Sweden,SWE,1964,7661354.0,3,3,1,7,Winter
Trinidad and Tobago,TTO,1964,913399.0,0,1,2,3,Summer
Tunisia,TUN,1964,4389417.0,0,1,1,2,Summer
Turkiye,TUR,1964,30612821.0,2,3,1,6,Summer
United States,USA,1964,191889000.0,36,26,28,90,Summer
United States,USA,1964,191889000.0,1,2,4,7,Winter
Argentina,ARG,1968,23112971.0,0,0,2,2,Summer
Australia,AUS,1968,12009000.0,5,7,5,17,Summer
Austria,AUT,1968,7415403.0,0,2,2,4,Summer
Austria,AUT,1968,7415403.0,3,4,4,11,Winter
Belgium,BEL,1968,9618756.0,0,1,1,2,Summer
Brazil,BRA,1968,91659246.0,0,1,2,3,Summer
Canada,CAN,1968,20744000.0,1,3,1,5,Summer
Canada,CAN,1968,20744000.0,1,1,1,3,Winter
Cameroon,CMR,1968,6127193.0,0,1,0,1,Summer
Cuba,CUB,1968,8550286.0,0,4,0,4,Summer
Ethiopia,ETH,1968,26778653.0,1,1,0,2,Summer
Finland,FIN,1968,4626469.0,1,2,1,4,Summer
Finland,FIN,1968,4626469.0,1,2,2,5,Winter
France,FRA,1968,50817020.0,7,3,5,15,Summer
France,FRA,1968,50817020.0,4,3,2,9,Winter
United Kingdom,GBR,1968,55211700.0,5,5,3,13,Summer
Hungary,HUN,1968,10255815.0,10,10,12,32,Summer
India,IND,1968,533431909.0,0,0,1,1,Summer
Italy,ITA,1968,53235750.0,3,4,9,16,Summer
Italy,ITA,1968,53235750.0,4,0,0,4,Winter
Jamaica,JAM,1968,1812209.0,0,1,0,1,Summer
Japan,JPN,1968,101011000.0,11,7,7,25,Summer
Kenya,KEN,1968,10613877.0,3,4,2,9,Summer
"Korea, Rep.",KOR,1968,30838302.0,0,1,1,2,Summer
Mexico,MEX,1968,47170337.0,3,3,3,9,Summer
Norway,NOR,1968,3816486.0,1,1,0,2,Summer
Norway,NOR,1968,3816486.0,6,6,2,14,Winter
New Zealand,NZL,1968,2748100.0,1,0,2,3,Summer
Pakistan,PAK,1968,56124743.0,1,0,0,1,Summer
Poland,POL,1968,32294655.0,5,2,11,18,Summer
Romania,ROU,1968,19799831.0,4,6,5,15,Summer
Romania,ROU,1968,19799831.0,0,0,1,1,Winter
Sweden,SWE,1968,7912273.0,2,1,1,4,Summer
Sweden,SWE,1968,7912273.0,3,2,3,8,Winter
Tunisia,TUN,1968,4785003.0,1,0,1,2,Summer
Turkiye,TUR,1968,33884075.0,2,0,0,2,Summer
Uganda,UGA,1968,9696370.0,0,1,1,2,Summer
United States,USA,1968,200706000.0,45,28,34,107,Summer
United States,USA,1968,200706000.0,1,5,1,7,Winter
"Venezuela, RB",VEN,1968,10672654.0,1,0,0,1,Summer
Argentina,ARG,1972,24612794.0,0,1,0,1,Summer
Australia,AUS,1972,13177000.0,8,7,2,17,Summer
Austria,AUT,1972,7544201.0,0,1,2,3,Summer
Austria,AUT,1972,7544201.0,1,2,2,5,Winter
Belgium,BEL,1972,9711115.0,0,2,0,2,Summer
Brazil,BRA,1972,101194394.0,0,0,2,2,Summer
Canada,CAN,1972,22218463.0,0,2,3,5,Summer
Canada,CAN,1972,22218463.0,0,1,0,1,Winter
Colombia,COL,1972,21898055.0,0,1,2,3,Summer
Cuba,CUB,1972,9169289.0,3,1,4,8,Summer
Spain,ESP,1972,34604469.0,0,0,1,1,Summer
Spain,ESP,1972,34604469.0,1,0,0,1,Winter
Ethiopia,ETH,1972,29891328.0,0,0,2,2,Summer
Finland,FIN,1972,4639657.0,3,1,4,8,Summer
Finland,FIN,1972,4639657.0,0,4,1,5,Winter
France,FRA,1972,52637888.0,2,4,7,13,Summer
France,FRA,1972,52637888.0,0,1,2,3,Winter
United Kingdom,GBR,1972,56086065.0,4,5,9,18,Summer
Ghana,GHA,1972,9365952.0,0,0,1,1,Summer
Hungary,HUN,1972,10398489.0,6,13,16,35,Summer
India,IND,1972,582837973.0,0,0,1,1,Summer
Italy,ITA,1972,54381345.0,5,3,10,18,Summer
Italy,ITA,1972,54381345.0,2,2,1,5,Winter
Jamaica,JAM,1972,1915299.0,0,0,1,1,Summer
Japan,JPN,1972,107188000.0,13,8,8,29,Summer
Japan,JPN,1972,107188000.0,1,1,1,3,Winter
Kenya,KEN,1972,12322903.0,2,3,4,9,Summer
"Korea, Rep.",KOR,1972,33505406.0,0,1,0,1,Summer
Lebanon,LBN,1972,2505965.0,0,1,0,1,Summer
Mexico,MEX,1972,53543436.0,0,1,0,1,Summer
Norway,NOR,1972,3933004.0,2,1,1,4,Summer
Norway,NOR,1972,3933004.0,2,5,5,12,Winter
New Zealand,NZL,1972,2903900.0,1,1,1,3,Summer
Pakistan,PAK,1972,62509565.0,0,1,0,1,Summer
Poland,POL,1972,33055650.0,7,5,9,21,Summer
Poland,POL,1972,33055650.0,1,0,0,1,Winter
"Korea, Dem. People's Rep.",PRK,1972,15768363.0,1,1,3,5,Summer
Romania,ROU,1972,20657957.0,3,6,7,16,Summer
Sweden,SWE,1972,8122300.0,4,6,6,16,Summer
Sweden,SWE,1972,8122300.0,1,1,2,4,Winter
Tunisia,TUN,1972,5320148.0,0,1,0,1,Summer
Turkiye,TUR,1972,37188035.0,0,1,0,1,Summer
Uganda,UGA,1972,10885563.0,1,1,0,2,Summer
United States,USA,1972,209896000.0,33,31,30,94,Summer
United States,USA,1972,209896000.0,3,2,3,8,Winter
Australia,AUS,1976,14033000.0,0,1,4,5,Summer
Austria,AUT,1976,7565525.0,0,0,1,1,Summer
Austria,AUT,1976,7565525.0,2,2,2,6,Winter
Belgium,BEL,1976,9818227.0,0,3,3,6,Summer
Brazil,BRA,1976,111286504.0,0,0,2,2,Summer
