,Country_Name,Country_Code,Year,Season,Population,GDP,GDP_Per_Capita,Y_Gold,Y_Silver,Y_Bronze,Y_Total,A_Gold,A_Silver,A_Bronze,A_Total,Y_Capita_Per_Medal,A_Capita_Per_Medal,Y_Capita_Per_GDP,A_Capita_Per_GDP,A_Score,Y_Score,Y_Score_Per_Capita,A_Score_Per_Capita
0,Argentina,ARG,1960,Summer,20349744.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,9.828133464479946e-08,9.828133464479946e-08,inf,inf,3.0,3.0,6783248.0,6783248.0
75,Armenia,ARM,1960,,1904148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,inf,inf
76,Azerbaijan,AZE,1960,,3894500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,inf,inf
70,Belarus,BLR,1960,,8198000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,inf,inf
92,Brunei Darussalam,BRN,1960,,85346.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,inf,inf
60,Channel Islands,CHI,1960,,109186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,inf,inf
38,Cuba,CUB,1960,,7267395.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,inf,inf
93,Cyprus,CYP,1960,,585725.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,inf,inf
78,Czechia,CZE,1960,,9602006.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,inf,inf
61,Djibouti,DJI,1960,,85940.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,inf,inf
56,"Egypt, Arab Rep.",EGY,1960,,27034499.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,inf,inf
87,Eritrea,ERI,1960,,993568.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,inf,inf
64,Estonia,EST,1960,,1211537.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,inf,inf
9,Ethiopia,ETH,1960,Summer,21739710.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,4.5998773672693884e-08,4.5998773672693884e-08,inf,inf,3.0,3.0,7246570.0,7246570.0
80,Georgia,GEO,1960,,3645600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,inf,inf
16,Hungary,HUN,1960,Summer,9983967.0,0.0,0.0,6.0,8.0,7.0,21.0,6.0,8.0,7.0,21.0,2.1033723368676998e-06,2.1033723368676998e-06,inf,inf,41.0,41.0,243511.39024390245,243511.39024390245
96,Jordan,JOR,1960,,847936.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,inf,inf
71,Kazakhstan,KAZ,1960,,9319283.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,inf,inf
42,"Korea, Dem. People's Rep.",PRK,1960,,11655666.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,inf,inf
85,Kyrgyz Republic,KGZ,1960,,2172300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,inf,inf
49,Lebanon,LBN,1960,,1798092.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,inf,inf
50,Liechtenstein,LIE,1960,,16472.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,inf,inf
66,Lithuania,LTU,1960,,2778550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,inf,inf
82,Moldova,MDA,1960,,2074015.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,inf,inf
95,Montenegro,MNE,1960,,480579.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,inf,inf
83,Mozambique,MOZ,1960,,6788375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,inf,inf
68,Namibia,NAM,1960,,590181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,inf,inf
86,North Macedonia,MKD,1960,,1462368.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,inf,inf
28,Poland,POL,1960,Summer,29637450.0,0.0,0.0,4.0,6.0,11.0,21.0,4.0,6.0,11.0,21.0,7.085629836575009e-07,7.085629836575009e-07,inf,inf,35.0,35.0,846784.2857142857,846784.2857142857
29,Poland,POL,1960,Winter,29637450.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,7.0,12.0,23.0,6.748218891976199e-08,7.760451725772629e-07,inf,inf,38.0,3.0,9879150.0,779932.8947368421
