,Country_Name,Year
0,Argentina,1960
1,Argentina,1964
2,Argentina,1968
3,Argentina,1972
4,Argentina,1976
5,Argentina,1980
6,Argentina,1984
7,Argentina,1988
8,Argentina,1992
9,Argentina,1994
10,Argentina,1996
11,Argentina,1998
12,Argentina,2000
13,Argentina,2002
14,Argentina,2004
15,Argentina,2006
16,Argentina,2008
17,Argentina,2010
18,Argentina,2012
19,Argentina,2014
20,Argentina,2016
21,Argentina,2018
22,Argentina,2020
23,Australia,1960
24,Australia,1964
25,Australia,1968
26,Australia,1972
27,Australia,1976
28,Australia,1980
29,Australia,1984
30,Australia,1988
31,Australia,1992
32,Australia,1994
33,Australia,1996
34,Australia,1998
35,Australia,2000
36,Australia,2002
37,Australia,2004
38,Australia,2006
39,Australia,2008
40,Australia,2010
41,Australia,2012
42,Australia,2014
43,Australia,2016
44,Australia,2018
45,Australia,2020
46,Austria,1960
47,Austria,1964
48,Austria,1968
49,Austria,1972
50,Austria,1976
51,Austria,1980
52,Austria,1984
53,Austria,1988
54,Austria,1992
55,Austria,1994
56,Austria,1996
57,Austria,1998
58,Austria,2000
59,Austria,2002
60,Austria,2004
61,Austria,2006
62,Austria,2008
63,Austria,2010
64,Austria,2012
65,Austria,2014
66,Austria,2016
67,Austria,2018
68,Austria,2020
69,Belgium,1960
70,Belgium,1964
71,Belgium,1968
72,Belgium,1972
73,Belgium,1976
74,Belgium,1980
75,Belgium,1984
76,Belgium,1988
77,Belgium,1992
78,Belgium,1994
79,Belgium,1996
80,Belgium,1998
81,Belgium,2000
82,Belgium,2002
83,Belgium,2004
84,Belgium,2006
85,Belgium,2008
86,Belgium,2010
87,Belgium,2012
88,Belgium,2014
89,Belgium,2016
90,Belgium,2018
91,Belgium,2020
92,Brazil,1960
93,Brazil,1964
94,Brazil,1968
95,Brazil,1972
96,Brazil,1976
97,Brazil,1980
98,Brazil,1984
99,Brazil,1988
100,Brazil,1992
101,Brazil,1994
102,Brazil,1996
103,Brazil,1998
104,Brazil,2000
105,Brazil,2002
106,Brazil,2004
107,Brazil,2006
108,Brazil,2008
109,Brazil,2010
110,Brazil,2012
111,Brazil,2014
112,Brazil,2016
113,Brazil,2018
114,Brazil,2020
115,Canada,1960
116,Canada,1964
117,Canada,1968
118,Canada,1972
119,Canada,1976
120,Canada,1980
