,index,Country_Name,Year,Season,Country_Code,GDP,Gold,Silver,Bronze,Total_Medals
0,0,Argentina,1960,Summer,ARG,,0.0,1.0,1.0,2.0
1,1,Argentina,1960,Winter,,,,,,
2,2,Argentina,1964,Summer,ARG,1179.504098,0.0,1.0,0.0,1.0
3,3,Argentina,1964,Winter,,,,,,
4,4,Argentina,1968,Summer,ARG,1143.810428,0.0,0.0,2.0,2.0
5,5,Argentina,1968,Winter,,,,,,
6,6,Argentina,1972,Summer,ARG,1411.176664,0.0,1.0,0.0,1.0
7,7,Argentina,1972,Winter,,,,,,
8,8,Argentina,1976,Summer,,,,,,
9,9,Argentina,1976,Winter,,,,,,
10,10,Argentina,1980,Summer,,,,,,
11,11,Argentina,1980,Winter,,,,,,
12,12,Argentina,1984,Summer,,,,,,
13,13,Argentina,1984,Winter,,,,,,
14,14,Argentina,1988,Summer,ARG,3982.444402,0.0,1.0,1.0,2.0
15,15,Argentina,1988,Winter,,,,,,
16,16,Argentina,1992,Summer,ARG,6815.61829,0.0,0.0,1.0,1.0
17,17,Argentina,1992,Winter,,,,,,
18,18,Argentina,1994,Summer,,,,,,
19,19,Argentina,1994,Winter,,,,,,
20,20,Argentina,1996,Summer,ARG,7690.157003,0.0,2.0,1.0,3.0
21,21,Argentina,1996,Winter,,,,,,
22,22,Argentina,1998,Summer,,,,,,
23,23,Argentina,1998,Winter,,,,,,
24,24,Argentina,2000,Summer,ARG,7666.517834,0.0,2.0,2.0,4.0
25,25,Argentina,2000,Winter,,,,,,
26,26,Argentina,2002,Summer,,,,,,
27,27,Argentina,2002,Winter,,,,,,
28,28,Argentina,2004,Summer,ARG,4258.160261,2.0,0.0,4.0,6.0
29,29,Argentina,2004,Winter,,,,,,
30,30,Argentina,2006,Summer,,,,,,
31,31,Argentina,2006,Winter,,,,,,
32,32,Argentina,2008,Summer,ARG,8977.506851,2.0,0.0,4.0,6.0
33,33,Argentina,2008,Winter,,,,,,
34,34,Argentina,2010,Summer,,,,,,
35,35,Argentina,2010,Winter,,,,,,
36,36,Argentina,2012,Summer,ARG,13082.66433,1.0,1.0,2.0,4.0
37,37,Argentina,2012,Winter,,,,,,
38,38,Argentina,2014,Summer,,,,,,
39,39,Argentina,2014,Winter,,,,,,
40,40,Argentina,2016,Summer,ARG,12790.24247,3.0,1.0,0.0,4.0
41,41,Argentina,2016,Winter,,,,,,
42,42,Argentina,2018,Summer,,,,,,
43,43,Argentina,2018,Winter,,,,,,
44,44,Argentina,2020,Summer,ARG,8496.424142,0.0,1.0,2.0,3.0
45,45,Argentina,2020,Winter,,,,,,
46,46,Australia,1960,Summer,AUS,1810.510249,8.0,8.0,6.0,22.0
47,47,Australia,1960,Winter,,,,,,
48,48,Australia,1964,Summer,AUS,2131.277657,6.0,2.0,10.0,18.0
49,49,Australia,1964,Winter,,,,,,
50,50,Australia,1968,Summer,AUS,2723.999484,5.0,7.0,5.0,17.0
51,51,Australia,1968,Winter,,,,,,
52,52,Australia,1972,Summer,AUS,3949.461643,8.0,7.0,2.0,17.0
53,53,Australia,1972,Winter,,,,,,
54,54,Australia,1976,Summer,AUS,7487.078975,0.0,1.0,4.0,5.0
55,55,Australia,1976,Winter,,,,,,
56,56,Australia,1980,Summer,AUS,10208.57617,2.0,2.0,5.0,9.0
57,57,Australia,1980,Winter,,,,,,
58,58,Australia,1984,Summer,AUS,12421.4926,4.0,8.0,12.0,24.0
59,59,Australia,1984,Winter,,,,,,
60,60,Australia,1988,Summer,AUS,14284.51581,3.0,6.0,5.0,14.0
61,61,Australia,1988,Winter,,,,,,
62,62,Australia,1992,Summer,AUS,18624.55508,7.0,9.0,11.0,27.0
63,63,Australia,1992,Winter,,,,,,
64,64,Australia,1994,Summer,,,,,,
65,65,Australia,1994,Winter,AUS,18129.79072,0.0,0.0,1.0,1.0
66,66,Australia,1996,Summer,AUS,22020.09372,9.0,9.0,23.0,41.0
67,67,Australia,1996,Winter,,,,,,
68,68,Australia,1998,Summer,,,,,,
69,69,Australia,1998,Winter,AUS,21478.38516,0.0,0.0,1.0,1.0
70,70,Australia,2000,Summer,AUS,21853.78167,16.0,25.0,17.0,58.0
71,71,Australia,2000,Winter,,,,,,
72,72,Australia,2002,Summer,,,,,,
73,73,Australia,2002,Winter,AUS,20291.17855,2.0,0.0,0.0,2.0
74,74,Australia,2004,Summer,AUS,30819.99349,17.0,16.0,17.0,50.0
75,75,Australia,2004,Winter,,,,,,
76,76,Australia,2006,Summer,,,,,,
77,77,Australia,2006,Winter,AUS,36570.72037,1.0,0.0,1.0,2.0
78,78,Australia,2008,Summer,AUS,49679.18053,14.0,15.0,17.0,46.0
79,79,Australia,2008,Winter,,,,,,
80,80,Australia,2010,Summer,,,,,,
81,81,Australia,2010,Winter,AUS,52134.30885,2.0,1.0,0.0,3.0
82,82,Australia,2012,Summer,AUS,68044.71482,8.0,15.0,12.0,35.0
83,83,Australia,2012,Winter,,,,,,
84,84,Australia,2014,Summer,,,,,,
85,85,Australia,2014,Winter,AUS,62513.41122,0.0,2.0,1.0,3.0
86,86,Australia,2016,Summer,AUS,49875.56514,8.0,11.0,10.0,29.0
87,87,Australia,2016,Winter,,,,,,
88,88,Australia,2018,Summer,,,,,,
89,89,Australia,2018,Winter,AUS,57207.87151,0.0,2.0,1.0,3.0
90,90,Australia,2020,Summer,AUS,51720.37076,17.0,7.0,22.0,46.0
91,91,Australia,2020,Winter,,,,,,
92,92,Austria,1960,Summer,AUT,935.4604269,1.0,1.0,0.0,2.0
93,93,Austria,1960,Winter,AUT,935.4604269,1.0,2.0,3.0,6.0
94,94,Austria,1964,Summer,,,,,,
95,95,Austria,1964,Winter,AUT,1269.412583,4.0,5.0,3.0,12.0
96,96,Austria,1968,Summer,AUT,1677.673528,0.0,2.0,2.0,4.0
97,97,Austria,1968,Winter,AUT,1677.673528,3.0,4.0,4.0,11.0
98,98,Austria,1972,Summer,AUT,2924.048879,0.0,1.0,2.0,3.0
99,99,Austria,1972,Winter,AUT,2924.048879,1.0,2.0,2.0,5.0
100,100,Austria,1976,Summer,AUT,5678.386658,0.0,0.0,1.0,1.0
101,101,Austria,1976,Winter,AUT,5678.386658,2.0,2.0,2.0,6.0
102,102,Austria,1980,Summer,AUT,10869.54649,1.0,2.0,1.0,4.0
103,103,Austria,1980,Winter,AUT,10869.54649,3.0,2.0,2.0,7.0
104,104,Austria,1984,Summer,AUT,8991.06504,1.0,1.0,1.0,3.0
105,105,Austria,1984,Winter,AUT,8991.06504,0.0,0.0,1.0,1.0
106,106,Austria,1988,Summer,AUT,17578.61894,1.0,0.0,0.0,1.0
107,107,Austria,1988,Winter,AUT,17578.61894,3.0,5.0,2.0,10.0
108,108,Austria,1992,Summer,AUT,24880.16412,0.0,2.0,0.0,2.0
109,109,Austria,1992,Winter,AUT,24880.16412,6.0,7.0,8.0,21.0
110,110,Austria,1994,Summer,,,,,,
111,111,Austria,1994,Winter,AUT,25646.70066,2.0,3.0,4.0,9.0
112,112,Austria,1996,Summer,AUT,29809.07677,0.0,1.0,2.0,3.0
113,113,Austria,1996,Winter,,,,,,
114,114,Austria,1998,Summer,,,,,,
115,115,Austria,1998,Winter,AUT,27361.87511,3.0,5.0,9.0,17.0
116,116,Austria,2000,Summer,AUT,24625.60072,2.0,1.0,0.0,3.0
117,117,Austria,2000,Winter,,,,,,
118,118,Austria,2002,Summer,,,,,,
119,119,Austria,2002,Winter,AUT,26527.59309,3.0,3.0,10.0,16.0
120,120,Austria,2004,Summer,AUT,36889.23351,2.0,4.0,1.0,7.0
121,121,Austria,2004,Winter,,,,,,
122,122,Austria,2006,Summer,,,,,,
123,123,Austria,2006,Winter,AUT,40669.32696,9.0,7.0,7.0,23.0
124,124,Austria,2008,Summer,AUT,51919.98358,0.0,1.0,2.0,3.0
125,125,Austria,2008,Winter,,,,,,
126,126,Austria,2010,Summer,,,,,,
127,127,Austria,2010,Winter,AUT,46903.76159,4.0,6.0,6.0,16.0
128,128,Austria,2012,Summer,,,,,,
129,129,Austria,2012,Winter,,,,,,
130,130,Austria,2014,Summer,,,,,,
131,131,Austria,2014,Winter,AUT,51786.37717,4.0,8.0,5.0,17.0
132,132,Austria,2016,Summer,AUT,45307.58786,0.0,0.0,1.0,1.0
133,133,Austria,2016,Winter,,,,,,
134,134,Austria,2018,Summer,,,,,,
135,135,Austria,2018,Winter,AUT,51466.55656,5.0,3.0,6.0,14.0
136,136,Austria,2020,Summer,AUT,48809.22688,1.0,1.0,5.0,7.0
137,137,Austria,2020,Winter,,,,,,
138,138,Belgium,1960,Summer,BEL,1273.691659,0.0,2.0,2.0,4.0
139,139,Belgium,1960,Winter,,,,,,
140,140,Belgium,1964,Summer,BEL,1701.846276,2.0,0.0,1.0,3.0
141,141,Belgium,1964,Winter,,,,,,
