,Country_Name,Country_Code,Season,Year,GDP,Population,GDP_per_capita,Gold,Silver,Bronze,Total_Medals,Gold_Score,Silver_Score,Bronze_Score,Total_Score,Medals_per_GDP
0,Argentina,ARG,Summer,1960,0.0,20349744.0,0.0,0,1,1,2,0,3,3,6,0.0
1,Australia,AUS,Summer,1960,1810510.2489999998,10276477.0,0.17618005168502784,8,8,6,22,24,24,18,66,3.645381186682253e-05
2,Austria,AUT,Summer,1960,935460.4269,7047539.0,0.13273575738992008,1,1,0,2,3,3,0,6,6.413953842904137e-06
3,Austria,AUT,Summer,1960,935460.4269,7047539.0,0.13273575738992008,1,1,0,2,3,3,0,6,6.413953842904137e-06
4,Austria,AUT,Winter,1960,935460.4269,7047539.0,0.13273575738992008,1,2,3,6,3,6,9,18,1.9241861528712412e-05
5,Austria,AUT,Winter,1960,935460.4269,7047539.0,0.13273575738992008,1,2,3,6,3,6,9,18,1.9241861528712412e-05
6,Belgium,BEL,Summer,1960,1273691.659,9153489.0,0.13914821539633684,0,2,2,4,0,6,6,12,9.421432507002074e-06
7,Brazil,BRA,Summer,1960,232998.7625,73092515.0,0.003187723975567129,0,0,2,2,0,0,6,6,2.5751209730137514e-05
8,Canada,CAN,Summer,1960,2259250.5110000004,17909356.0,0.1261491764974687,0,1,0,1,0,3,0,3,1.3278739942265745e-06
9,Canada,CAN,Summer,1960,2259250.5110000004,17909356.0,0.1261491764974687,0,1,0,1,0,3,0,3,1.3278739942265745e-06
10,Canada,CAN,Winter,1960,2259250.5110000004,17909356.0,0.1261491764974687,2,1,1,4,6,3,3,12,5.311495976906298e-06
11,Canada,CAN,Winter,1960,2259250.5110000004,17909356.0,0.1261491764974687,2,1,1,4,6,3,3,12,5.311495976906298e-06
12,Spain,ESP,Summer,1960,396392.2533,30455000.0,0.013015670769988507,0,0,1,1,0,0,3,3,7.568260920905338e-06
13,Ethiopia,ETH,Summer,1960,0.0,21739710.0,0.0,1,0,0,1,3,0,0,3,0.0
14,Finland,FIN,Summer,1960,1179353.011,4429634.0,0.26624163779671184,1,1,3,5,3,3,9,15,1.271883809181202e-05
15,Finland,FIN,Summer,1960,1179353.011,4429634.0,0.26624163779671184,1,1,3,5,3,3,9,15,1.271883809181202e-05
