,Age,Sex,Height(cm),Weight(kg),Year,isTeamSport,GDP_per_capita,Population,GDP,%_of_World_Pop
Rowing,0.14333675114689384,0.023676661590978473,0.15385429680134594,0.15736091545556385,0.06786103292258067,0.011288979884216099,0.09978960759029382,0.11125111020513458,0.10538607286065431,0.12619457154233846
Athletics,0.12658874810249657,0.02296655117480588,0.14285199531838635,0.1607912925898715,0.05169664301600777,0.06342931755251426,0.07772837217935763,0.1251748192047149,0.08270198937046325,0.1460702714913819
Diving,0.08716857503335407,0.021697333712099802,0.10953879649071875,0.09762290205849934,0.05047660412936491,0.059891501373263975,0.06556957114586115,0.21927131194509444,0.09185897549950085,0.19690442861224264
Sailing,0.13647086960307703,0.013568464896191424,0.12227480597018638,0.13551933933445742,0.06299436051381065,0.02340934526060892,0.09616698046237909,0.13997848587423448,0.10970903635944318,0.15990831172561148
Judo,0.1166325546035562,0.025532127737069744,0.14390609387687267,0.14219779262024826,0.05954853245791494,0.006588841044819543,0.09606836838668673,0.1476912152031369,0.11539909043803448,0.1464353836316604
Handball,0.019887160361713976,0.0598608395636621,0.028989709816403947,0.05129379941437081,0.12876557082693002,0.0,0.18601043271627565,0.17886454327372275,0.13464473263846238,0.21168321138845844
Fencing,0.08694520908849623,0.02439159371595314,0.10419696953622395,0.108410055377368,0.07828413873854607,0.08393938304324657,0.07349989095214754,0.1941820328532017,0.08926069747401748,0.15689002922079928
Volleyball,0.018539751242559504,0.05525549313750357,0.02854032157044427,0.04371415525424857,0.11297092079062974,0.0,0.15328635666487522,0.18362307191748528,0.15875780999625994,0.24531211942599399
Speed Skating,0.1294921502944529,0.025798494209763264,0.14309761399125936,0.15159397320014656,0.06555262094912195,0.042604103407758664,0.1182003232390911,0.12197924132598263,0.09808051626562687,0.1036009631167967
Swimming,0.0710999077152462,0.01452650575702233,0.09595878507510787,0.0996680477950423,0.041582652364660085,0.06631374385404036,0.06971806032907531,0.19475349842747874,0.09713798858798188,0.24924081009434493
Shooting,0.160816537081981,0.014190644903746594,0.1381741565212882,0.15274113349429536,0.0706000405388787,0.004613652100777871,0.0914924258861865,0.13383349213749984,0.10157058208912259,0.1319673352462234
Bobsleigh,0.08711476923126889,0.0073389480535942095,0.06829040802748665,0.0698287705949555,0.1297354531641482,0.0,0.2548275397960167,0.10714458050504318,0.1691736880789796,0.1065458425485071
Canoe Sprint,0.09129377818387234,0.015913970141228913,0.11211309552770486,0.11935320509843385,0.10832538774861668,0.039815647857214975,0.10531345202207036,0.1394059501309404,0.11507085781606198,0.1533946554738557
Ice Hockey,0.011261656206609027,0.0282456087603152,0.019396235907203335,0.026297724452619017,0.0930848840248191,0.0,0.17923207012047057,0.23910367581208833,0.17246797001144115,0.2309101747044343
Modern Pentathlon,0.0660734869491702,0.007103802131884349,0.05294546045342246,0.09280355138968993,0.09128701016806437,0.12125783137141632,0.15870819066059647,0.14729769441877522,0.14175539334326384,0.12076757911371683
Archery,0.09278991825152903,0.03229506240775026,0.089803396230232,0.0955122923756253,0.07021214674573145,0.07729376461233743,0.0955600593043334,0.1625948453557664,0.10301112184976212,0.18092739286693263
Cross Country Skiing,0.08233257038511634,0.016366702674192435,0.08540684810476194,0.09160264867501797,0.07606718029789988,0.11747437789947013,0.0723529262261267,0.2086084922666414,0.09351365340318248,0.1562746000675906
Artistic Gymnastics,0.058482492175535424,0.024489001347903314,0.08597291345215895,0.08808741563625812,0.09641775102884925,0.10668271332422687,0.07155377495843213,0.17328279405829078,0.07816293869443516,0.21686820532391013
Hockey,0.019100724159837892,0.04873108785259851,0.028536099551990227,0.03589192126691986,0.09319513360578902,0.0,0.21946955173297572,0.22000845764484292,0.1687514786527914,0.16631554553225447
Tennis,0.07693543942155655,0.025538392253332105,0.0849033720493962,0.09740118270682405,0.06511476061191715,0.062367118764923936,0.13274768825165473,0.16063345565125023,0.1488803274770092,0.1454782628121359
Equestrian Dressage,0.035275150869197025,0.006180477674339307,0.03218550952867709,0.04458654107527114,0.06731035519708524,0.19352496397955218,0.14392252600193087,0.14664382514811586,0.12849133517543754,0.20187931535039377
Cycling Track,0.0863333962552373,0.016845641508935732,0.09665396793866678,0.09665671280840009,0.0661285965507397,0.06003192348454317,0.1354100755822687,0.15782337567681953,0.13073074352518735,0.15338556666920167
Biathlon,0.061949646329036046,0.014789716204872193,0.08200790540289762,0.08246957797947081,0.09072994039305012,0.11773520771810644,0.10305956710561072,0.1634622439337995,0.14390264607338293,0.1398935488597737
Basketball,0.014567560971726482,0.050648915450502305,0.027259391065020226,0.03362050115176702,0.07240304429413338,0.0,0.12976256888276388,0.225876085855097,0.16852220907412224,0.2773397232548676
Boxing,0.12651464453318484,0.005518369585827668,0.1550971184174494,0.14810608353248234,0.07473228014713308,0.0,0.10136952461691809,0.1386936052598337,0.10785456958207446,0.14211380432509635
Football,0.012776956822805632,0.05364901554169704,0.01700413686906974,0.025169112661177145,0.1382035727880992,0.0,0.1607557340831093,0.19173938390786208,0.1828522927083212,0.21784979461785856
Figure Skating,0.1955700379064123,0.013355221239067811,0.14145661116751534,0.13543005872734792,0.05862063502472528,0.045346666289985745,0.09699427329154871,0.12259230321436533,0.09019390681438504,0.10044028632464652
Alpine Skiing,0.1473656376158407,0.020667885567666133,0.17196183581327082,0.16183285990378685,0.055721848637102424,0.0031012793067612516,0.09587040416817832,0.12596510522008275,0.08927285067591799,0.1282402930913928
