Country_Name,Year,Country_Code,Gold,Silver,Bronze,Total,Season,GDP,Population,Gold_Net,Silver_Net,Bronze_Net,Total_Net
Australia,1960,AUS,8.0,8.0,6.0,22.0,Summer,1810510.2489999998,10276477.0,8.0,8.0,6.0,22.0
Montenegro,1960,MNE,0.0,0.0,0.0,0.0,0,,480579.0,0.0,0.0,0.0,0.0
Cameroon,1960,CMR,0.0,0.0,0.0,0.0,0,120018.1942,5117608.0,0.0,0.0,0.0,0.0
Mexico,1960,MEX,0.0,0.0,1.0,1.0,Summer,359545.05970000004,36268055.0,0.0,0.0,1.0,1.0
Dominican Republic,1960,DOM,0.0,0.0,0.0,0.0,0,203879.7509,3298021.0,0.0,0.0,0.0,0.0
Turkmenistan,1960,TKM,0.0,0.0,0.0,0.0,0,,1602052.0,0.0,0.0,0.0,0.0
Luxembourg,1960,LUX,0.0,0.0,0.0,0.0,0,2242015.817,313970.0,0.0,0.0,0.0,0.0
Ecuador,1960,ECU,0.0,0.0,0.0,0.0,0,448114.8818,4618158.0,0.0,0.0,0.0,0.0
Qatar,1960,QAT,0.0,0.0,0.0,0.0,0,,36385.0,0.0,0.0,0.0,0.0
Lithuania,1960,LTU,0.0,0.0,0.0,0.0,0,,2778550.0,0.0,0.0,0.0,0.0
Romania,1960,ROU,3.0,1.0,6.0,10.0,Summer,,18406905.0,3.0,1.0,6.0,10.0
Burundi,1960,BDI,0.0,0.0,0.0,0.0,0,71360.22425,2746628.0,0.0,0.0,0.0,0.0
Liechtenstein,1960,LIE,0.0,0.0,0.0,0.0,0,,16472.0,0.0,0.0,0.0,0.0
Lebanon,1960,LBN,0.0,0.0,0.0,0.0,0,,1798092.0,0.0,0.0,0.0,0.0
Eritrea,1960,ERI,0.0,0.0,0.0,0.0,0,,993568.0,0.0,0.0,0.0,0.0
Estonia,1960,EST,0.0,0.0,0.0,0.0,0,,1211537.0,0.0,0.0,0.0,0.0
Kenya,1960,KEN,0.0,0.0,0.0,0.0,0,102079.8676,7751435.0,0.0,0.0,0.0,0.0
Canada,1960,CAN,0.0,1.0,0.0,1.0,Summer,2259250.5110000004,17909356.0,0.0,1.0,0.0,1.0
San Marino,1960,SMR,0.0,0.0,0.0,0.0,0,,15556.0,0.0,0.0,0.0,0.0
