Country_Name,Country_Code,Season,Year,GDP,Population,GDP_per_capita,Gold,Silver,Bronze,Total_Medals,Gold_Score,Silver_Score,Bronze_Score,Weighted_Medal_Score,Medal_count_per_GDP,Medal_count_per_capita,Medal_score_per_GDP,Medal_score_per_capita,net_medal_count,net_gold,net_silver,net_bronze,net_medal_score
Argentina,ARG,Summer,1960,0.0,20349744.0,0.0,0,1,1,2,0,2,1,3,0.0,9.828133464479946e-08,0.0,1.474220019671992e-07,2,0,1,1,3
Australia,AUS,Summer,1960,1810510.249,10276477.0,0.1761800516850278,8,8,6,22,24,16,6,46,1.2151270622274176e-05,2.140811486271025e-06,2.540720221020964e-05,4.476242198566688e-06,22,8,8,6,46
Austria,AUT,Summer,1960,935460.4269,7047539.0,0.13273575738992,1,1,0,2,3,2,0,5,2.1379846143013794e-06,2.8378700706728975e-07,5.344961535753448e-06,7.094675176682244e-07,2,1,1,0,5
Austria,AUT,Summer,1960,935460.4269,7047539.0,0.13273575738992,1,1,0,2,3,2,0,5,2.1379846143013794e-06,2.8378700706728975e-07,5.344961535753448e-06,7.094675176682244e-07,4,2,2,0,10
Austria,AUT,Winter,1960,935460.4269,7047539.0,0.13273575738992,1,2,3,6,3,4,3,10,6.413953842904137e-06,8.513610212018692e-07,1.0689923071506896e-05,1.4189350353364487e-06,10,3,4,3,20
Austria,AUT,Winter,1960,935460.4269,7047539.0,0.13273575738992,1,2,3,6,3,4,3,10,6.413953842904137e-06,8.513610212018692e-07,1.0689923071506896e-05,1.4189350353364487e-06,16,4,6,6,30
Belgium,BEL,Summer,1960,1273691.659,9153489.0,0.1391482153963368,0,2,2,4,0,4,2,6,3.1404775023340246e-06,4.369918399421248e-07,4.710716253501037e-06,6.554877599131873e-07,4,0,2,2,6
Brazil,BRA,Summer,1960,232998.7625,73092515.0,0.0031877239755671,0,0,2,2,0,0,2,2,8.583736576712505e-06,2.7362582885538963e-08,8.583736576712505e-06,2.7362582885538963e-08,2,0,0,2,2
Canada,CAN,Summer,1960,2259250.5110000004,17909356.0,0.1261491764974687,0,1,0,1,0,2,0,2,4.426246647421915e-07,5.5836736954695633e-08,8.85249329484383e-07,1.1167347390939129e-07,1,0,1,0,2
Canada,CAN,Summer,1960,2259250.5110000004,17909356.0,0.1261491764974687,0,1,0,1,0,2,0,2,4.426246647421915e-07,5.5836736954695633e-08,8.85249329484383e-07,1.1167347390939129e-07,2,0,2,0,4
Canada,CAN,Winter,1960,2259250.5110000004,17909356.0,0.1261491764974687,2,1,1,4,6,2,1,9,1.770498658968766e-06,2.2334694781878253e-07,3.983621982679723e-06,5.025306325922607e-07,6,2,3,1,13
Canada,CAN,Winter,1960,2259250.5110000004,17909356.0,0.1261491764974687,2,1,1,4,6,2,1,9,1.770498658968766e-06,2.2334694781878253e-07,3.983621982679723e-06,5.025306325922607e-07,10,4,4,2,22
Ethiopia,ETH,Summer,1960,0.0,21739710.0,0.0,1,0,0,1,3,0,0,3,0.0,4.599877367269389e-08,0.0,1.3799632101808165e-07,1,1,0,0,3
