,Country_Name,Country_Code,Season,Year,GDP,Population,GDP_per_capita,Gold,Silver,Bronze,Total_Medals,Gold_Score,Silver_Score,Bronze_Score,Total_Score,Medal_score_per_GDP,Medal_score_per_capita
0,Argentina,ARG,Summer,1960,0.0,20349744.0,0.0,0,1,1,2,0,2,1,3,0.0,1.474220019671992e-07
1,Australia,AUS,Summer,1960,1810510.2489999998,10276477.0,0.17618005168502784,8,8,6,22,24,16,6,46,2.540720221020964e-05,4.4762421985666875e-06
2,Austria,AUT,Summer,1960,935460.4269,7047539.0,0.13273575738992008,1,1,0,2,3,2,0,5,5.344961535753448e-06,7.094675176682244e-07
3,Austria,AUT,Summer,1960,935460.4269,7047539.0,0.13273575738992008,1,1,0,2,3,2,0,5,5.344961535753448e-06,7.094675176682244e-07
4,Austria,AUT,Winter,1960,935460.4269,7047539.0,0.13273575738992008,1,2,3,6,3,4,3,10,1.0689923071506896e-05,1.4189350353364487e-06
5,Austria,AUT,Winter,1960,935460.4269,7047539.0,0.13273575738992008,1,2,3,6,3,4,3,10,1.0689923071506896e-05,1.4189350353364487e-06
6,Belgium,BEL,Summer,1960,1273691.659,9153489.0,0.13914821539633684,0,2,2,4,0,4,2,6,4.710716253501037e-06,6.554877599131873e-07
7,Brazil,BRA,Summer,1960,232998.7625,73092515.0,0.003187723975567129,0,0,2,2,0,0,2,2,8.583736576712505e-06,2.7362582885538963e-08
8,Canada,CAN,Summer,1960,2259250.5110000004,17909356.0,0.1261491764974687,0,1,0,1,0,2,0,2,8.85249329484383e-07,1.1167347390939127e-07
9,Canada,CAN,Summer,1960,2259250.5110000004,17909356.0,0.1261491764974687,0,1,0,1,0,2,0,2,8.85249329484383e-07,1.1167347390939127e-07
10,Canada,CAN,Winter,1960,2259250.5110000004,17909356.0,0.1261491764974687,2,1,1,4,6,2,1,9,3.983621982679723e-06,5.025306325922607e-07
11,Canada,CAN,Winter,1960,2259250.5110000004,17909356.0,0.1261491764974687,2,1,1,4,6,2,1,9,3.983621982679723e-06,5.025306325922607e-07
12,Spain,ESP,Summer,1960,396392.2533,30455000.0,0.013015670769988507,0,0,1,1,0,0,1,1,2.5227536403017794e-06,3.283533081595797e-08
13,Ethiopia,ETH,Summer,1960,0.0,21739710.0,0.0,1,0,0,1,3,0,0,3,0.0,1.3799632101808165e-07
14,Finland,FIN,Summer,1960,1179353.011,4429634.0,0.26624163779671184,1,1,3,5,3,2,3,8,6.7833803156330775e-06,1.8060182850321268e-06
15,Finland,FIN,Summer,1960,1179353.011,4429634.0,0.26624163779671184,1,1,3,5,3,2,3,8,6.7833803156330775e-06,1.8060182850321268e-06
16,Finland,FIN,Winter,1960,1179353.011,4429634.0,0.26624163779671184,2,3,3,8,6,6,3,15,1.271883809181202e-05,3.386284284435238e-06
17,Finland,FIN,Winter,1960,1179353.011,4429634.0,0.26624163779671184,2,3,3,8,6,6,3,15,1.271883809181202e-05,3.386284284435238e-06
18,France,FRA,Summer,1960,1333881.5729999999,46649927.0,0.028593433233025205,0,2,3,5,0,4,3,7,5.247842193558814e-06,1.5005382537897647e-07
19,France,FRA,Summer,1960,1333881.5729999999,46649927.0,0.028593433233025205,0,2,3,5,0,4,3,7,5.247842193558814e-06,1.5005382537897647e-07
20,France,FRA,Winter,1960,1333881.5729999999,46649927.0,0.028593433233025205,1,0,2,3,3,0,2,5,3.748458709684867e-06,1.0718130384212606e-07
21,France,FRA,Winter,1960,1333881.5729999999,46649927.0,0.028593433233025205,1,0,2,3,3,0,2,5,3.748458709684867e-06,1.0718130384212606e-07
22,United Kingdom,GBR,Summer,1960,1397594.8029999998,52400000.0,0.026671656545801524,2,6,12,20,6,12,12,30,2.1465449023997267e-05,5.725190839694656e-07
23,Ghana,GHA,Summer,1960,176095.64839999998,6911510.0,0.025478607192928892,0,1,0,1,0,2,0,2,1.1357464072348991e-05,2.893723658071825e-07
24,Hungary,HUN,Summer,1960,0.0,9983967.0,0.0,6,8,7,21,18,16,7,41,0.0,4.106584086265509e-06
25,India,IND,Summer,1960,83035.10182,445954579.0,0.00018619632072440273,0,1,0,1,0,2,0,2,2.408619916352383e-05,4.484761664483324e-09
26,Iraq,IRQ,Summer,1960,237713.20789999998,7084678.0,0.033553142132924034,0,0,1,1,0,0,1,1,4.206749842948042e-06,1.4114967539809148e-07
27,Italy,ITA,Summer,1960,804492.6233,50199700.0,0.016025845240110997,13,10,13,36,39,20,13,72,8.949740235610685e-05,1.4342715195509137e-06
