,Unnamed: 0,Country_Name,Country_Code,Season,Year,GDP,Population,GDP_per_capita,Gold,Silver,Bronze,Total_Medals,Gold_Score,Silver_Score,Bronze_Score,Total_Score,Medal_score_per_GDP,Medal_score_per_capita
1076,1076,Namibia,NAM,Summer,2020,4251172.766,2489098.0,1.7079169908135396,0,1,0,1,0,2,0,2,4.7045841467455444e-07,8.035039198938732e-07
1071,1071,Lithuania,LTU,Summer,2020,20339521.27,2794885.0,7.277409006095063,0,1,0,1,0,2,0,2,9.833073126209329e-08,7.155929492626709e-07
1072,1072,Morocco,MAR,Summer,2020,3258121.338,36688772.0,0.0888043169719608,1,0,0,1,3,0,0,3,9.207760205276922e-07,8.176888558712187e-08
1073,1073,Moldova,MDA,Summer,2020,4500624.464000001,2635130.0,1.7079326120532956,0,0,1,1,0,0,1,1,2.221913887725781e-07,3.794879190020986e-07
1075,1075,North Macedonia,MKD,Summer,2020,5965450.232,2072531.0,2.8783406530469264,0,1,0,1,0,2,0,2,3.352638815544141e-07,9.650036597763795e-07
1043,1043,Cote d'Ivoire,CIV,Summer,2020,2288119.498,26811790.0,0.0853400499556352,0,0,1,1,0,0,1,1,4.37040111267825e-07,3.729702492821255e-08
1040,1040,Brunei Darussalam,BRN,Summer,2020,27179411.99,441725.0,61.530164672590416,0,1,0,1,0,2,0,2,7.358510922664004e-08,4.527703888165714e-06
1057,1057,Ghana,GHA,Summer,2020,2176579.4590000003,32180401.0,0.0676368035003665,0,0,1,1,0,0,1,1,4.594364776645629e-07,3.1074814760698604e-08
1086,1086,Syrian Arab Republic,SYR,Summer,2020,533385.2317,20772595.0,0.0256773519004245,0,0,1,1,0,0,1,1,1.8748175625575724e-06,4.8140350302887056e-08
1088,1088,Turkmenistan,TKM,Summer,2020,0.0,6250438.0,0.0,0,1,0,1,0,2,0,2,0.0,3.19977575971476e-07
1065,1065,Jordan,JOR,Summer,2020,4042769.35,10928721.0,0.3699215443417395,0,1,1,2,0,2,1,3,7.420655843252596e-07,2.7450604695645535e-07
1053,1053,Finland,FIN,Summer,2020,49170752.15,5529543.0,8.892371783707985,0,0,2,2,0,0,2,2,4.0674586264184295e-08,3.6169354320962884e-07
1087,1087,Thailand,THA,Summer,2020,6990935.503,71475664.0,0.0978086122152009,1,0,1,2,3,0,1,4,5.721694898034021e-07,5.596310374955033e-08
1051,1051,Estonia,EST,Summer,2020,23595243.68,1329522.0,17.747163025508417,1,0,1,2,3,0,1,4,1.6952569145918648e-07,3.0086000833382222e-06
1089,1089,Tunisia,TUN,Summer,2020,3497681.41,12161723.0,0.2875975229825576,1,1,0,2,3,2,0,5,1.4295184191747184e-06,4.111259564125906e-07
1048,1048,Ecuador,ECU,Summer,2020,5645199.289999999,17588595.0,0.3209579440540873,2,1,0,3,6,2,0,8,1.4171333178921309e-06,4.548401961612056e-07
1069,1069,Kyrgyz Republic,KGZ,Summer,2020,1182521.7,6579900.0,0.1797172753385309,0,2,1,3,0,4,1,5,4.228252217274321e-06,7.598899679326434e-07
1032,1032,Argentina,ARG,Summer,2020,8496424.141999999,45376763.0,0.1872417418139764,0,1,2,3,0,2,2,4,4.707862899907475e-07,8.815084496000739e-08
1080,1080,Qatar,QAT,Summer,2020,52315660.08,2760385.0,18.952305595052863,2,0,1,3,6,0,1,7,1.338031478393993e-07,2.535878147432333e-06
1082,1082,San Marino,SMR,Summer,2020,45320208.72,34007.0,1332.67294145323,0,1,2,3,0,2,2,4,8.82608468269208e-08,0.0001176228423559
1091,1091,Uganda,UGA,Summer,2020,846767.2013,44404611.0,0.0190693529845357,2,1,1,4,6,2,1,9,1.0628659194856324e-05,2.02681653939047e-07
1074,1074,Mexico,MEX,Summer,2020,8655000.682,125998302.0,0.0686914073016634,0,0,4,4,0,0,4,4,4.621605643912762e-07,3.1746459567367824e-08
