,Country_Name,Country_Code,Year,Season,Population,GDP,GDP_Per_Capita,Y_Gold,Y_Silver,Y_Bronze,Y_Total,A_Gold,A_Silver,A_Bronze,A_Total,Y_Capita_Per_Medal,A_Capita_Per_Medal,Y_Capita_Per_GDP,A_Capita_Per_GDP,A_Score,Y_Score,Y_Score_Per_Capita,A_Score_Per_Capita
88,Afghanistan,AFG,1960,,8622466.0,537777811.1537417,62.36937451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,Argentina,ARG,1960,Summer,20349744.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,9.828133464479946e-08,9.828133464479946e-08,0.0,0.0,3.0,3.0,6783248.0,6783248.0
75,Armenia,ARM,1960,,1904148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
1,Australia,AUS,1960,Summer,10276477.0,18605666932.112774,1810.510249,8.0,8.0,6.0,22.0,8.0,8.0,6.0,22.0,2.1408114862710246e-06,2.1408114862710246e-06,1.1824354418614641e-09,1.1824354418614641e-09,46.0,46.0,223401.6739130435,223401.6739130435
2,Austria,AUT,1960,Summer,7047539.0,6592693841.534399,935.4604269,1.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,2.8378700706728975e-07,2.8378700706728975e-07,3.033661274242511e-10,3.033661274242511e-10,5.0,5.0,1409507.8,1409507.8
3,Austria,AUT,1960,Winter,7047539.0,6592693841.534399,935.4604269,1.0,2.0,3.0,6.0,2.0,3.0,3.0,8.0,8.513610212018692e-07,1.135148028269159e-06,9.100983822727533e-10,1.2134645096970045e-09,15.0,10.0,704753.9,469835.93333333335
76,Azerbaijan,AZE,1960,,3894500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
70,Belarus,BLR,1960,,8198000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
4,Belgium,BEL,1960,Summer,9153489.0,11658722590.048252,1273.691659,0.0,2.0,2.0,4.0,0.0,2.0,2.0,4.0,4.369918399421248e-07,4.369918399421248e-07,3.4309076051044843e-10,3.4309076051044843e-10,6.0,6.0,1525581.5,1525581.5
5,Brazil,BRA,1960,Summer,73092515.0,17030465543.012688,232.9987625,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.7362582885538963e-08,2.7362582885538963e-08,1.174366017739642e-10,1.174366017739642e-10,2.0,2.0,36546257.5,36546257.5
92,Brunei Darussalam,BRN,1960,,85346.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
77,Burundi,BDI,1960,,2746628.0,195999990.011329,71.36022425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,Cameroon,CMR,1960,,5117608.0,614206070.7834736,120.0181942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Canada,CAN,1960,Summer,17909356.0,40461721694.680916,2259.250511,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,5.5836736954695633e-08,5.5836736954695633e-08,2.4714716974870095e-11,2.4714716974870095e-11,2.0,2.0,8954678.0,8954678.0
7,Canada,CAN,1960,Winter,17909356.0,40461721694.680916,2259.250511,2.0,1.0,1.0,4.0,2.0,2.0,1.0,5.0,2.2334694781878253e-07,2.7918368477347815e-07,9.885886789948038e-11,1.2357358487435048e-10,11.0,9.0,1989928.4444444445,1628123.2727272727
60,Channel Islands,CHI,1960,,109186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
53,China,CHN,1960,,667070000.0,59716467625.0757,89.52054151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Colombia,COL,1960,,15687688.0,4031152976.034043,256.9628473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,Cote d'Ivoire,CIV,1960,,3708661.0,546203561.7163367,147.2778347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Cuba,CUB,1960,,7267395.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
