Country_Name,Country_Code,Season,Year,GDP,Population,GDP_per_capita,Gold,Silver,Bronze,Total_Medals,Gold_Score,Silver_Score,Bronze_Score,Total_Score,Medal_score_per_GDP,Medal_score_per_capita,cumulative_medal_count
Australia,AUS,Summer,1960,1810510.249,10276477.0,0.1761800516850278,8,8,6,22,24,16,6,46,2.540720221020964e-05,4.476242198566688e-06,22
Austria,AUT,Summer,1960,935460.4269,7047539.0,0.13273575738992,1,1,0,2,3,2,0,5,5.344961535753448e-06,7.094675176682244e-07,2
Austria,AUT,Summer,1960,935460.4269,7047539.0,0.13273575738992,1,1,0,2,3,2,0,5,5.344961535753448e-06,7.094675176682244e-07,4
Austria,AUT,Winter,1960,935460.4269,7047539.0,0.13273575738992,1,2,3,6,3,4,3,10,1.0689923071506896e-05,1.4189350353364487e-06,10
Austria,AUT,Winter,1960,935460.4269,7047539.0,0.13273575738992,1,2,3,6,3,4,3,10,1.0689923071506896e-05,1.4189350353364487e-06,16
Belgium,BEL,Summer,1960,1273691.659,9153489.0,0.1391482153963368,0,2,2,4,0,4,2,6,4.710716253501037e-06,6.554877599131873e-07,4
Brazil,BRA,Summer,1960,232998.7625,73092515.0,0.0031877239755671,0,0,2,2,0,0,2,2,8.583736576712505e-06,2.7362582885538963e-08,2
Canada,CAN,Summer,1960,2259250.5110000004,17909356.0,0.1261491764974687,0,1,0,1,0,2,0,2,8.85249329484383e-07,1.1167347390939129e-07,1
Canada,CAN,Summer,1960,2259250.5110000004,17909356.0,0.1261491764974687,0,1,0,1,0,2,0,2,8.85249329484383e-07,1.1167347390939129e-07,2
Canada,CAN,Winter,1960,2259250.5110000004,17909356.0,0.1261491764974687,2,1,1,4,6,2,1,9,3.983621982679723e-06,5.025306325922607e-07,6
Canada,CAN,Winter,1960,2259250.5110000004,17909356.0,0.1261491764974687,2,1,1,4,6,2,1,9,3.983621982679723e-06,5.025306325922607e-07,10
Spain,ESP,Summer,1960,396392.2533,30455000.0,0.0130156707699885,0,0,1,1,0,0,1,1,2.5227536403017794e-06,3.283533081595797e-08,1
Finland,FIN,Summer,1960,1179353.011,4429634.0,0.2662416377967118,1,1,3,5,3,2,3,8,6.7833803156330775e-06,1.8060182850321268e-06,5
Finland,FIN,Summer,1960,1179353.011,4429634.0,0.2662416377967118,1,1,3,5,3,2,3,8,6.7833803156330775e-06,1.8060182850321268e-06,10
Finland,FIN,Winter,1960,1179353.011,4429634.0,0.2662416377967118,2,3,3,8,6,6,3,15,1.271883809181202e-05,3.386284284435238e-06,18
Finland,FIN,Winter,1960,1179353.011,4429634.0,0.2662416377967118,2,3,3,8,6,6,3,15,1.271883809181202e-05,3.386284284435238e-06,26
France,FRA,Summer,1960,1333881.573,46649927.0,0.0285934332330252,0,2,3,5,0,4,3,7,5.247842193558814e-06,1.500538253789765e-07,5
France,FRA,Summer,1960,1333881.573,46649927.0,0.0285934332330252,0,2,3,5,0,4,3,7,5.247842193558814e-06,1.500538253789765e-07,10
France,FRA,Winter,1960,1333881.573,46649927.0,0.0285934332330252,1,0,2,3,3,0,2,5,3.748458709684867e-06,1.0718130384212607e-07,13
France,FRA,Winter,1960,1333881.573,46649927.0,0.0285934332330252,1,0,2,3,3,0,2,5,3.748458709684867e-06,1.0718130384212607e-07,16
United Kingdom,GBR,Summer,1960,1397594.8029999998,52400000.0,0.0266716565458015,2,6,12,20,6,12,12,30,2.1465449023997267e-05,5.725190839694656e-07,20
Ghana,GHA,Summer,1960,176095.64839999998,6911510.0,0.0254786071929288,0,1,0,1,0,2,0,2,1.1357464072348991e-05,2.893723658071825e-07,1
India,IND,Summer,1960,83035.10182,445954579.0,0.0001861963207244,0,1,0,1,0,2,0,2,2.408619916352383e-05,4.484761664483324e-09,1
Iraq,IRQ,Summer,1960,237713.2079,7084678.0,0.033553142132924,0,0,1,1,0,0,1,1,4.206749842948042e-06,1.4114967539809148e-07,1
Italy,ITA,Summer,1960,804492.6233,50199700.0,0.0160258452401109,13,10,13,36,39,20,13,72,8.949740235610685e-05,1.4342715195509135e-06,36
Italy,ITA,Summer,1960,804492.6233,50199700.0,0.0160258452401109,13,10,13,36,39,20,13,72,8.949740235610685e-05,1.4342715195509135e-06,72
Italy,ITA,Winter,1960,804492.6233,50199700.0,0.0160258452401109,0,0,1,1,0,0,1,1,1.243019477168151e-06,1.9920437771540467e-08,73
Italy,ITA,Winter,1960,804492.6233,50199700.0,0.0160258452401109,0,0,1,1,0,0,1,1,1.243019477168151e-06,1.9920437771540467e-08,74
Japan,JPN,Summer,1960,475319.0756,93216000.0,0.0050991146970477,4,7,7,18,12,14,7,33,6.942704741724024e-05,3.540164778578785e-07,18
Morocco,MAR,Summer,1960,172598.98380000002,11769774.0,0.0146645962615764,0,1,0,1,0,2,0,2,1.1587553738540607e-05,1.6992679723501913e-07,1
Mexico,MEX,Summer,1960,359545.05970000004,36268055.0,0.0099135467755301,0,0,1,1,0,0,1,1,2.781292561311752e-06,2.7572473902998107e-08,1
Norway,NOR,Summer,1960,1441755.66,3581239.0,0.4025857140503608,1,0,0,1,3,0,0,3,2.0807964090114964e-06,8.376989081153198e-07,1
Norway,NOR,Summer,1960,1441755.66,3581239.0,0.4025857140503608,1,0,0,1,3,0,0,3,2.0807964090114964e-06,8.376989081153198e-07,2
Norway,NOR,Winter,1960,1441755.66,3581239.0,0.4025857140503608,3,3,0,6,9,6,0,15,1.040398204505748e-05,4.188494540576599e-06,8
Norway,NOR,Winter,1960,1441755.66,3581239.0,0.4025857140503608,3,3,0,6,9,6,0,15,1.040398204505748e-05,4.188494540576599e-06,14
