Result_ID,Event_Title,Sport,Result_Location,Result_Detail,Start_Date,End_Date,Time,Year,Season
9270,"7 metres, 1907 Rating, Open",Sailing,Oostende,na,1920-07-07,1920-07-09,na,1920,Summer
29722,"Featherweight (≤60 kilograms), Men",Weightlifting,"Dvorets sporta Izmaylovo, Moskva",na,1980-07-22,,14:00-19:00,1980,Summer
54126,"Platform, Men",Diving,"Wembley Arena, Wembley, London",na,1948-08-04,1948-08-05,na,1948,Summer
4684,"100 metres Backstroke, Men",Swimming,"Zwemstadion van Antwerpen, Antwerpen",na,1920-08-22,1920-08-23,na,1920,Summer
1465,"Slalom, Men",Alpine Skiing,"Park City Mountain Resort, Park City, Utah (Know You Don't)",Jesse Hunt,2002-02-23,,na,2002,Winter
54255,"Platform, Men",Diving,"Piscina Municipal de Montjuïc, Barcelona",na,1992-08-02,1992-08-03,na,1992,Summer
51929,"Rapid-Fire Pistol, 25 metres, Men",Shooting,"Sydney International Shooting Centre, Cecil Park, New South Wales",na,2000-09-20,2000-09-21,na,2000,Summer
256298,"Kayak Doubles, 500 metres, Women",Canoe Sprint,"Sydney International Regatta Centre, Penrith, New South Wales",na,2000-09-27,2000-10-01,na,2000,Summer
60270,"Shot Put, Men",Athletics,"Kokuritsu Kyogijo, Shinjuku, Tokyo",na,1964-10-17,,na,1964,Summer
256358,"Canadian Singles, 500 metres, Men",Canoe Sprint,"Olympiako Kopelatodramio Skhoinia, Schinias National Park",na,2004-08-24,2004-08-28,na,2004,Summer
185147,"Individual, Men",Equestrian Jumping,"Helsingin Olympiastadion, Helsinki",na,1952-08-03,,na,1952,Summer
29637,"Featherweight (≤60 kilograms), Men",Weightlifting,"Aréna Saint-Michel, Montréal, Québec",na,1976-07-20,,14:30-19:00,1976,Summer
6245,"200 metres Breaststroke, Men",Swimming,"Schwimmhalle, Olympiapark, München",na,1972-09-02,,na,1972,Summer
59331,"110 metres Hurdles, Men",Athletics,"Melbourne Cricket Ground, Melbourne, Victoria",na,1956-11-27,1956-11-28,na,1956,Summer
6995,"1,500 metres Freestyle, Men",Swimming,"Olympic Swim Stadium, University of Southern California, Los Angeles, California",na,1984-08-03,1984-08-04,na,1984,Summer
10197,"Windsurfer (Lechner Division II), Open",Sailing,"Busan Yachting Center, Busan (Course Bravo)",na,1988-09-20,1988-09-27,na,1988,Summer
70239,"Floor Exercise, Women",Artistic Gymnastics,"Terme di Caracalla, Roma",na,1960-09-06,1960-09-09,15:00,1960,Summer
19000470,"4 × 100 metres Relay, Men",Athletics,"Japan National Stadium, Kasumigaoka, Shinjuku, Tokyo",na,2021-08-05,2021-08-06,na,2020,Summer
127684,"Light-Flyweight, Greco-Roman (≤48 kilograms), Men",Wrestling,"Centre Pierre-Charbonneau, Parc olympique, Montréal, Québec",na,1976-07-20,1976-07-24,na,1976,Summer
57490,"Triple Jump, Men",Athletics,"Stade Olympique de Colombes, Colombes",na,1924-07-12,,na,1924,Summer
178,"Singles, Men",Luge,"The Spiral, Asakawa, Nagano",Curves: 14Length: 1326 mStart Altitude: 1029 mVertical Drop: 114 m,1998-02-08,1998-02-09,na,1998,Winter
260689,"Lightweight (≤57 kilograms), Women",Judo,"Beijing Keji Daxue Tiyuguan, Beijing",na,2008-08-11,,12:00,2008,Summer
22384,"Middleweight (≤73 kilograms), Men",Boxing,"Empress Hall, Earls Court Exhibition Centre, Kensington, London / Wembley Arena, Wembley, London",na,1948-08-07,1948-08-13,na,1948,Summer
185419,"Individual, Open",Equestrian Jumping,"Real Club de Polo, Barcelona",na,1992-08-04,1992-08-09,08:00 (4/8) (7/8) (9/8),1992,Summer
920066,"Music, Compositions for Orchestra, Open",Art Competitions,"Victoria & Albert Museum, London",na,1948-07-29,1948-08-14,na,1948,Summer
925830,"50 yards - Olympic Championships of the Public Schools Athletic League, Elementary School Events, Boys",Athletics,"Francis Field, Washington University, St. Louis",na,,,na,1904,Summer
70369,"Rings, Men",Artistic Gymnastics,"Sporthalle, Olympiapark, München",na,1972-08-27,,19:30,1972,Summer
924415,"Parallel Giant Slalom, Women",Snowboarding,"Cypress Mountain, West Vancouver",CAN,2010-02-26,,na,2010,Winter
9001185,"1,000 metres, Women",Short Track Speed Skating,"Gangneung Ice Arena, Gangneung Olympic Park, Coastal Cluster, Gangneung",na,2018-02-20,2018-02-22,na,2018,Winter
21103,"Tug-Of-War, Men",Tug-Of-War,"Francis Field, Washington University, St. Louis",na,1904-08-31,1904-09-01,na,1904,Summer
29816,"Featherweight (≤60 kilograms), Men",Weightlifting,"Albert Gersten Pavilion, Loyola Marymount University, Los Angeles, California, USA",na,1984-07-31,,14:00-18:00,1984,Summer
