Country_Name,Gold,Silver,Bronze,Total_Medals
Afghanistan,0,0,2,2
Algeria,5,4,8,17
Argentina,21,26,30,77
Armenia,2,8,8,18
Australasia,3,4,5,12
Australia,168,177,215,560
Austria,93,124,134,351
Azerbaijan,7,14,28,49
Bahrain,2,2,0,4
Barbados,0,0,1,1
Belarus,21,37,47,105
Belgium,48,59,67,174
Bermuda,1,0,1,2
Bohemia,0,1,3,4
Botswana,0,1,1,2
Brazil,37,42,71,150
Bulgaria,55,90,85,230
Burkina Faso,0,0,1,1
Burundi,1,1,0,2
Cameroon,3,1,2,6
Canada,146,181,220,547
Chile,2,7,4,13
Chinese Taipei,7,11,18,36
Colombia,5,13,16,34
Costa Rica,1,1,2,4
Croatia,18,19,15,52
Cuba,84,69,82,235
Cyprus,0,1,0,1
Czech Republic,80,90,102,272
Côte d'Ivoire,1,1,2,4
Denmark,48,83,83,214
Djibouti,0,0,1,1
Dominican Republic,3,5,4,12
Ecuador,3,2,0,5
Egypt,8,10,18,36
Eritrea,0,0,1,1
Estonia,14,11,19,44
Ethiopia,23,12,23,58
Fiji,2,0,1,3
Finland,149,151,185,485
France,272,298,340,910
Gabon,0,1,0,1
Georgia,10,12,18,40
Germany,608,615,615,1838
Ghana,0,1,4,5
Great Britain,303,328,327,958
Greece,36,45,41,122
Grenada,1,1,1,3
Guatemala,0,1,0,1
Guyana,0,0,1,1
Haiti,0,1,1,2
"Hong Kong, China",2,3,4,9
Hungary,184,158,183,525
Iceland,0,2,2,4
India,10,9,16,35
Individual Olympic Athletes,1,1,3,5
Indonesia,8,14,15,37
Iraq,0,0,1,1
Ireland,11,11,16,38
Islamic Republic of Iran,24,23,29,76
Israel,3,1,9,13
Italy,263,236,270,769
Jamaica,26,36,25,87
Japan,186,178,211,575
Jordan,1,1,1,3
Kazakhstan,15,24,40,79
Kenya,35,42,36,113
Kingdom of Saudi Arabia,0,2,2,4
Kosovo,3,0,0,3
Kuwait,0,0,3,3
Kyrgyzstan,0,3,4,7
Latvia,5,14,12,31
Lebanon,0,2,2,4
Liechtenstein,2,2,6,10
Lithuania,6,7,13,26
Luxembourg,3,4,0,7
Malaysia,0,8,5,13
Mauritius,0,0,1,1
Mexico,13,24,35,72
Mixed team,4,2,4,10
Monaco,0,0,1,1
Mongolia,2,11,17,30
Montenegro,0,1,0,1
Morocco,7,5,12,24
Mozambique,1,0,1,2
Namibia,0,5,0,5
Netherlands,151,155,170,476
Netherlands Antilles,0,1,0,1
New Zealand,55,35,53,143
Niger,0,1,1,2
Nigeria,3,11,13,27
North Korea,16,17,24,57
North Macedonia,0,1,1,2
Norway,207,187,173,567
Pakistan,3,3,4,10
Panama,1,0,2,3
Paraguay,0,1,0,1
People's Republic of China,284,231,196,711
Peru,1,3,0,4
Philippines,1,5,8,14
Poland,82,98,149,329
Portugal,5,9,14,28
Puerto Rico,2,2,6,10
Qatar,2,2,4,8
Republic of Moldova,0,2,4,6
Romania,90,97,122,309
Russian Federation,696,591,589,1876
Samoa,0,1,0,1
San Marino,0,1,2,3
Senegal,0,1,0,1
Serbia,6,7,11,24
Serbia and Montenegro,2,4,3,9
Singapore,1,2,2,5
Slovakia,14,18,10,42
Slovenia,12,17,23,52
South Africa,27,34,30,91
South Korea,129,121,116,366
Spain,49,73,52,174
Sri Lanka,0,2,0,2
Sudan,0,1,0,1
Suriname,1,0,1,2
Sweden,211,228,241,680
Switzerland,118,131,128,377
Syrian Arab Republic,1,1,2,4
Tajikistan,1,1,2,4
Thailand,10,8,17,35
The Bahamas,8,2,6,16
Togo,0,0,1,1
Tonga,0,1,0,1
Trinidad and Tobago,3,5,11,19
Tunisia,5,3,7,15
Turkmenistan,0,1,0,1
Türkiye,41,26,36,103
Uganda,4,4,3,11
Ukraine,38,38,72,148
Unified Team,54,44,37,135
United Arab Emirates,1,0,1,2
United Arab Republic,0,1,1,2
United Republic of Tanzania,0,2,0,2
United States,1179,961,839,2979
United States Virgin Islands,0,1,0,1
Uruguay,2,2,6,10
Uzbekistan,11,6,20,37
Venezuela,3,7,9,19
Vietnam,1,3,1,5
West Indies Federation,0,0,2,2
Yugoslavia,26,32,29,87
Zambia,0,1,1,2
Zimbabwe,3,4,1,8
