Year,Afghanistan,Greece,United States,Germany,France,Great Britain,Denmark,Hungary,Austria,Switzerland,People's Republic of China,Australia,Belgium,Mixed team,Canada,Romania,Cuba,Algeria,Finland,Norway,Italy,Russian Federation,Soviet Union,Japan,East Germany,Poland
1896,0,47,20,13,11,7,6,6,5,3,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1900,0,0,68,22,122,45,12,11,11,13,0,5,18,8,0,0,2,0,0,5,5,0,0,0,0,0
1904,0,49,316,36,0,47,0,15,0,0,0,0,0,9,6,0,5,0,0,0,0,0,0,0,0,0
1908,0,53,363,49,141,193,17,24,12,0,0,0,26,0,22,0,0,0,5,13,9,3,0,0,0,0
1912,0,55,427,75,156,234,29,32,16,14,0,0,32,0,30,0,0,0,31,23,17,8,0,0,0,0
1920,0,56,522,0,198,277,42,0,0,25,0,8,74,0,39,0,0,0,65,55,42,0,0,2,0,0
1924,0,57,621,0,239,312,53,42,20,50,0,14,87,0,43,1,0,0,102,65,58,0,0,3,0,2
1928,0,0,677,114,264,334,62,52,24,67,0,18,90,0,58,0,0,0,127,69,78,0,0,8,0,9
1932,0,0,787,138,284,351,70,68,29,68,0,23,91,0,74,0,0,0,152,0,114,0,0,26,0,18
1936,0,0,844,239,303,365,75,84,46,86,0,24,94,0,83,2,0,0,172,75,141,0,0,46,0,27
1948,0,0,928,0,335,392,97,112,54,109,0,37,101,0,87,0,6,0,196,82,172,0,0,0,0,29
1952,0,0,1004,263,353,403,103,154,56,123,0,48,105,0,90,6,0,0,218,87,193,0,71,55,0,33
1956,0,58,1078,283,367,424,106,180,58,0,0,83,107,0,95,19,0,0,233,90,215,0,169,74,0,42
1960,0,59,1149,325,372,444,112,201,60,129,0,105,111,0,96,29,0,0,238,91,251,0,272,92,0,63
1964,0,0,1239,375,387,462,118,223,0,133,0,123,114,0,100,41,7,0,243,0,278,0,368,121,0,86
1968,0,60,1346,0,402,475,126,255,64,138,0,140,116,0,105,56,11,0,247,93,294,0,459,146,25,104
1972,0,62,1440,0,415,493,127,290,67,141,0,157,118,0,110,72,19,0,255,97,312,0,558,175,91,125
1976,0,0,1534,0,424,506,130,312,68,145,0,162,124,0,121,99,32,0,261,99,325,0,683,200,181,151
1980,0,65,0,0,438,527,135,344,72,147,0,171,125,0,0,124,52,0,269,0,340,0,878,0,307,183
1984,0,67,1708,0,466,564,141,0,75,155,32,195,129,0,165,177,0,2,281,102,372,0,0,232,0,0
1988,0,68,1802,0,482,588,145,367,76,159,60,209,131,0,175,201,0,0,285,107,386,0,1010,246,409,199
1992,0,70,1910,457,511,608,151,397,78,160,114,236,134,0,193,219,83,4,290,114,405,0,0,268,0,218
1996,0,78,2011,522,548,623,157,418,81,167,164,277,140,0,215,239,108,7,294,121,440,71,0,282,0,235
2000,0,91,2104,578,586,651,163,435,84,176,222,335,145,0,229,265,137,12,298,131,474,160,0,300,0,249
2004,0,107,2205,627,619,681,171,452,91,181,285,385,148,0,241,284,164,0,300,137,506,250,0,337,0,259
2008,1,110,2317,668,662,732,178,462,94,188,385,431,150,0,261,293,194,14,304,146,533,310,0,362,0,270
2012,2,112,2421,712,697,797,187,480,0,192,476,466,153,0,279,300,209,15,307,150,561,376,0,400,0,281
2016,0,118,2542,754,739,864,202,495,95,199,546,495,159,0,301,304,220,17,308,154,589,432,0,441,0,292
2020,0,122,2655,791,772,928,213,515,102,212,634,541,166,0,325,308,235,0,310,162,629,503,0,499,0,306
