Country_Name,Country_Code,Year,Population,Gold,Silver,Bronze,Total_Medals
Argentina,ARG,1960,20349744.0,0,1,1,2
Australia,AUS,1960,10276477.0,8,8,6,22
Austria,AUT,1960,7047539.0,1,1,0,2
Belgium,BEL,1960,9153489.0,0,2,2,4
Brazil,BRA,1960,73092515.0,0,0,2,2
Canada,CAN,1960,17909356.0,0,1,0,1
Spain,ESP,1960,30455000.0,0,0,1,1
Ethiopia,ETH,1960,21739710.0,1,0,0,1
Finland,FIN,1960,4429634.0,1,1,3,5
France,FRA,1960,46649927.0,0,2,3,5
United Kingdom,GBR,1960,52400000.0,2,6,12,20
Ghana,GHA,1960,6911510.0,0,1,0,1
Hungary,HUN,1960,9983967.0,6,8,7,21
India,IND,1960,445954579.0,0,1,0,1
Iraq,IRQ,1960,7084678.0,0,0,1,1
Italy,ITA,1960,50199700.0,13,10,13,36
Japan,JPN,1960,93216000.0,4,7,7,18
Morocco,MAR,1960,11769774.0,0,1,0,1
Mexico,MEX,1960,36268055.0,0,0,1,1
Norway,NOR,1960,3581239.0,1,0,0,1
New Zealand,NZL,1960,2371800.0,2,0,1,3
Pakistan,PAK,1960,45954226.0,1,0,1,2
Poland,POL,1960,29637450.0,4,6,11,21
Romania,ROU,1960,18406905.0,3,1,6,10
Singapore,SGP,1960,1646400.0,0,1,0,1
Sweden,SWE,1960,7484656.0,1,2,3,6
Turkiye,TUR,1960,27510980.0,7,2,0,9
United States,USA,1960,180671000.0,34,21,16,71
"Venezuela, RB",VEN,1960,8156937.0,0,0,1,1
Argentina,ARG,1964,21708487.0,0,1,0,1
Australia,AUS,1964,11167000.0,6,2,10,18
Belgium,BEL,1964,9378113.0,2,0,1,3
Brazil,BRA,1964,82262794.0,0,0,1,1
Canada,CAN,1964,19325000.0,1,2,1,4
Cuba,CUB,1964,7902286.0,0,1,0,1
Ethiopia,ETH,1964,24073696.0,1,0,0,1
Finland,FIN,1964,4548543.0,3,0,2,5
France,FRA,1964,48733997.0,1,8,6,15
United Kingdom,GBR,1964,54000000.0,4,12,2,18
