,Country_Name,1896,1900,1904,1908,1912,1920,1924,1928,1932,1936,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020,2022
0,Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2
1,Algeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,4,7,7,12,12,12,12,14,14,15,15,17,17,17,17
2,Argentina,0,0,0,0,0,0,6,13,17,24,31,36,38,40,41,43,44,44,44,44,46,47,47,50,50,54,54,60,60,66,66,70,70,74,74,77,77
3,Armenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,3,3,8,8,10,10,14,14,18,18
4,Australasia,0,0,0,5,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
5,Australia,2,5,5,5,5,8,14,18,23,24,37,48,83,105,123,140,157,162,171,195,209,236,237,278,279,337,339,389,391,437,440,475,478,507,510,556,560
6,Austria,5,11,11,12,16,16,19,23,26,36,44,49,55,59,71,78,82,85,90,92,97,108,117,120,137,140,156,163,186,189,205,205,222,223,237,244,262
7,Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,9,9,15,15,24,24,42,42,49,49
8,Bahrain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,4,4
9,Barbados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
10,Belarus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17,19,36,37,50,51,65,68,78,84,93,96,103,105
11,Belgium,0,18,18,26,32,74,81,83,84,87,91,95,97,101,104,106,108,114,115,119,121,124,124,130,131,136,136,139,139,141,141,144,144,150,151,158,160
